"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ALCOHOL","TOT","LT_CAP15","A","2005",10.5,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2006",10.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2007",10.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2008",10.8,"B"
"AUS","ALCOHOL","TOT","LT_CAP15","A","2009",10.7,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2010",10.4,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2011",10.2,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2012",10,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2013",9.9,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2014",9.7,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2015",9.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2016",9.5,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2017",9.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2005",12.2,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2006",12.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2007",12.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2008",12,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2009",11.8,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2010",12.1,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2011",11.9,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2012",12.1,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2013",11.9,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2014",12.2,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2015",11.2,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2016",11.4,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2017",11.3,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2018",11.3,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2019",11.6,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2020",11.3,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2005",12.2,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2006",10.9,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2007",10.3,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2008",10.5,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2009",10.1,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2010",10.3,
