LOCATION,TIME,social_support,healthcare_spending,suicide_rate,alcohol_consumption,Life Ladder,Log GDP per capita,Freedom to make life choices,Generosity
AUS,2007,95.7004687095747,8.059,10.7,10.8,7.285390854,10.6935997,0.890681982,0.345243514
AUS,2008,94.1889428263911,8.254,11.1,10.8,7.253757477,10.70870495,0.915733337,0.303523868
AUS,2010,95.3537089581459,8.423,11.0,10.4,7.450047016,10.71252632,0.932058573,0.314949483
AUS,2011,96.6617795755098,8.54,10.9,10.2,7.405616283,10.72302914,0.944586456,0.367531091
AUS,2012,93.8596928084393,8.675,11.5,10.0,7.195585728,10.74399662,0.935146272,0.271807224
AUS,2013,92.7235447914386,8.751,11.5,9.9,7.364169121,10.75245476,0.933379173,0.266937226
AUS,2014,91.9743772998874,9.848,12.6,9.7,7.288550377,10.76284504,0.922932267,0.316678762
AUS,2015,95.1059267405367,10.184,13.2,9.8,7.309060574,10.76994228,0.921871006,0.330028921
AUS,2016,93.6083345700604,10.09,12.2,9.5,7.250080109,10.78137112,0.922315717,0.236697629
AUS,2017,94.9741857443996,10.126,13.6,9.5,7.25703764,10.78722477,0.910550177,0.315513879
AUT,2006,91.6049182181628,9.531,15.2,12.5,7.122211456,10.83645248,0.941382349,0.30017212
AUT,2008,92.6689102732143,9.726,14.6,12.0,7.180953979,10.88117504,0.879069269,0.289053112
AUT,2010,94.5737291238523,10.221,14.4,12.1,7.302678585,10.85598373,0.895979762,0.128658563
AUT,2011,93.3273695145207,10.026,14.6,11.9,7.470512867,10.88142204,0.939355612,0.129321575
AUT,2012,93.7536341299166,10.199,14.2,12.1,7.400688648,10.8836441,0.919703901,0.115545519
AUT,2013,94.7957054371788,10.286,14.2,11.9,7.498802662,10.87800503,0.921734452,0.165994912
AUT,2014,89.3943115690241,10.368,14.3,12.2,6.949999809,10.87678051,0.885026872,0.11535573
AUT,2015,92.519775895927,10.368,13.4,11.2,7.07644701,10.87566471,0.900305152,0.096642055
AUT,2016,92.6318595998114,10.352,12.7,11.4,7.048071861,10.88454914,0.888513982,0.077555038
AUT,2017,90.1764678875012,10.384,12.8,11.3,7.293727875,10.89993763,0.890030563,0.131007552
AUT,2018,90.5648375377981,10.345,12.5,11.3,7.396001816,10.91977501,0.904111981,0.051337708
AUT,2019,95.5641676952033,10.475,11.4,11.6,7.195361137,10.93013,0.90342766,0.05765314
AUT,2020,92.3398579252005,11.474,10.8,11.3,7.213489056,10.85622025,0.911909878,0.008043503
BEL,2007,91.722815834106,9.136,17.1,10.3,7.218839645,10.79118156,0.900870383,0.066993691
BEL,2008,91.9064866963902,9.595,18.3,10.5,7.116590977,10.78774071,0.887026727,0.004469757
BEL,2010,92.6048792132938,10.202,18.2,10.3,6.853514194,10.77838421,0.806930244,0.019800803
BEL,2011,93.6108441258095,10.363,18.6,10.1,7.111363888,10.78217793,0.880153596,-0.016651344
BEL,2012,92.4401021126968,10.48,17.9,10.1,6.935122013,10.78334141,0.855266631,-0.052570175
BEL,2013,90.6243919052346,10.549,16.6,10.3,7.10366106,10.7832098,0.890711069,0.014191088
BEL,2014,94.3055990702843,10.575,16.5,10.6,6.855329037,10.79443264,0.86095351,-0.001163991
BEL,2015,88.4002446285223,10.774,16.2,10.4,6.904219151,10.80884647,0.869474947,0.059686165
BEL,2016,92.5279247326823,10.763,16.3,9.4,6.948936462,10.81637096,0.865759015,-0.058212876
BEL,2017,92.0082498034504,10.752,14.8,9.3,6.928347588,10.82858467,0.856801987,0.05211496
BEL,2018,92.1072271268084,10.788,15.2,9.2,6.89217186,10.84206104,0.808386624,-0.127044588
CAN,2008,93.5517442057637,9.608,10.9,8.4,7.485603809,10.73316574,0.92631495,0.259448141
CAN,2009,93.9377872951644,10.719,11.2,8.4,7.48782444,10.69202709,0.915057838,0.244119033
CAN,2010,95.2585098047203,10.702,11.3,8.4,7.650346279,10.71133614,0.933948815,0.22833468
CAN,2011,92.1669263511913,10.408,10.9,8.2,7.426053524,10.7325325,0.950925291,0.251015067
CAN,2012,94.4634284577435,10.515,11.0,8.3,7.415144444,10.73914337,0.917961121,0.287870497
CAN,2013,93.6239388012628,10.415,11.2,8.2,7.593793869,10.75160122,0.916013896,0.313492298
CAN,2014,91.5069175733133,10.258,11.7,8.0,7.30425787,10.76984406,0.93889761,0.267686814
CAN,2015,93.8671643619638,10.744,12.0,8.0,7.412772655,10.76895142,0.931468964,0.250650674
CAN,2016,92.3367113065762,11.033,10.7,8.1,7.244845867,10.76759148,0.912423909,0.208993167
CAN,2017,92.9535948174926,10.862,11.1,8.2,7.414868355,10.78554058,0.945145011,0.1608188
CAN,2018,91.7334797816133,10.846,10.1,8.2,7.175496578,10.79542065,0.9457829,0.10371729
CAN,2019,92.4946070159731,10.95,10.5,8.0,7.1090765,10.79971313,0.911525607,0.109055623
DNK,2007,94.8550127094436,9.325,10.6,11.6,7.834233284,10.88872623,0.932086229,0.237539381
DNK,2008,95.0310879216028,9.511,11.0,11.3,7.970891953,10.87771797,0.969788373,0.2696127
DNK,2009,93.7456065300628,10.674,11.2,10.6,7.683358669,10.82205677,0.949335575,0.261128634
DNK,2010,96.8238158128472,10.608,10.1,10.8,7.770515442,10.83615208,0.943630815,0.240007415
DNK,2011,96.0369745244623,10.407,10.5,11.0,7.78823185,10.84531403,0.934760153,0.295087457
DNK,2012,94.3940760983139,10.522,11.6,9.8,7.519909382,10.84381294,0.932627916,0.136318624
DNK,2013,95.7165424493056,10.329,10.6,10.0,7.588606834,10.84893417,0.920254648,0.2123456
DNK,2014,94.9913894640024,10.309,11.0,10.1,7.507559299,10.85992813,0.941572249,0.115580156
DNK,2015,95.5311301646868,10.344,9.7,9.9,7.514424801,10.87601948,0.94143641,0.219611302
DNK,2016,95.3154840589918,10.252,9.9,10.0,7.55778265,10.90015984,0.948230565,0.135312274
DNK,2017,95.1444364233518,10.098,9.8,9.7,7.593702316,10.92155266,0.955416322,0.152372763
DNK,2018,95.667063082841,10.098,9.7,9.7,7.648785591,10.93629456,0.935437799,0.015203916
FIN,2006,95.580374361229,8.284,19.9,10.1,7.672449112,10.74531746,0.968580484,-0.007057802
FIN,2008,94.3283132843805,8.343,19.3,10.3,7.67062664,10.79585457,0.934178948,0.02510258
FIN,2010,93.3690647346816,9.142,17.6,9.7,7.393264294,10.73366833,0.916009128,0.088641785
FIN,2011,93.3374169161481,9.223,16.6,9.8,7.354225159,10.75419044,0.936448395,0.098960467
FIN,2012,91.8649383219707,9.586,15.9,9.3,7.420209408,10.73535824,0.920968115,-0.003566283
FIN,2013,93.0434676870251,9.805,16.1,9.1,7.444635868,10.72169304,0.918625355,0.037072554
FIN,2014,94.8100414176301,9.781,14.3,8.8,7.384571075,10.71390152,0.933043957,-0.003273941
FIN,2016,94.8613660567003,9.378,14.1,8.4,7.659843445,10.74088192,0.948372185,-0.029359555
FIN,2017,96.042217379988,9.127,14.8,8.4,7.788251877,10.7699604,0.962198973,-0.004811105
FIN,2018,95.9270863516775,9.042,14.4,8.4,7.85810709,10.77998829,0.937807381,-0.129722193
FIN,2019,93.3515988228941,9.172,13.4,8.2,7.780347824,10.79223537,0.947616696,-0.054119188
FRA,2006,93.842275678787,10.386,17.0,13.1,6.582700253,10.65413857,0.789120734,0.123951375
FRA,2008,93.3101616792285,10.501,16.5,12.5,7.008064747,10.66886711,0.833327115,-0.033128537
FRA,2009,91.002200627112,11.288,16.7,12.6,6.283498287,10.63456821,0.798213184,-0.083970748
FRA,2010,93.8616132373461,11.226,16.3,12.3,6.797901154,10.64893436,0.849702179,-0.105601452
FRA,2011,91.8614115902835,11.185,16.2,12.4,6.959185123,10.6657877,0.903366625,-0.104549602
FRA,2012,93.4511192663296,11.297,15.1,12.2,6.649365425,10.6640749,0.841320336,-0.151167959
FRA,2013,90.6425518713262,11.405,14.8,11.6,6.66712141,10.66467381,0.877795756,-0.126617715
FRA,2014,87.2874119289438,11.534,13.5,12.0,6.466867924,10.66945267,0.803474188,-0.120204329
FRA,2015,89.3556513623218,11.441,13.6,11.9,6.357625008,10.67696476,0.817036211,-0.141385987
FRA,2016,88.492292008501,11.485,12.7,11.7,6.475208759,10.68522072,0.786780477,-0.093409583
FRA,2017,93.0606336035944,11.358,12.3,11.7,6.635222435,10.70497513,0.83389014,-0.125517383
DEU,2007,92.0401653202362,10.051,10.6,11.5,6.416819572,10.76004124,0.800878227,0.164431661
DEU,2008,92.7611963548536,10.251,10.6,11.4,6.521790028,10.77149582,0.765556991,
DEU,2009,91.2303472162371,11.238,10.7,11.2,6.64149332,10.71540546,0.843784511,0.124639109
DEU,2010,93.5291517727266,11.096,11.2,11.6,6.724531174,10.75788689,0.842656434,0.09249673
DEU,2011,94.3322768229007,10.778,11.2,11.3,6.621312141,10.81492519,0.906293273,0.030239167
DEU,2012,92.4537132565578,10.853,10.8,11.3,6.702362061,10.81722355,0.904440463,0.068326421
DEU,2013,92.6545065811155,10.998,11.2,11.1,6.965125084,10.81886101,0.894312978,0.021607108
DEU,2014,93.5569579460442,11.022,11.2,11.1,6.984214306,10.83654785,0.898683429,0.085171044
DEU,2015,92.2654779289418,11.184,10.9,11.1,7.037137508,10.84269905,0.889428854,0.175080508
DEU,2016,90.0846524448336,11.233,10.6,11.0,6.873763084,10.85668278,0.870515049,0.145733327
DEU,2017,88.5878540388617,11.324,9.9,10.9,7.074324608,10.87939453,0.840727866,0.142413303
DEU,2018,90.8242755538949,11.457,10.0,10.9,7.118364334,10.88719082,0.8768875,0.031526014
DEU,2019,87.6122083736453,11.696,9.6,10.6,7.035472393,10.89543533,0.884751558,0.054287467
GRC,2007,80.0675099468104,8.398,2.8,8.9,6.646961212,10.5352869,0.575308859,-0.192107111
GRC,2009,79.0077735769624,9.407,3.3,8.3,6.038574696,10.48268509,0.443107843,-0.294750184
GRC,2010,86.111897824028,9.597,3.2,8.3,5.839558601,10.42505169,0.484110981,-0.30452165
GRC,2011,84.8929114257525,9.193,4.0,7.5,5.372039795,10.31951046,0.528125942,-0.317181766
GRC,2012,80.960810621165,8.924,4.3,7.6,5.096354008,10.2514143,0.37261042,-0.305750698
GRC,2013,68.1503876511993,8.438,4.6,7.6,4.720251083,10.23318386,0.425966531,-0.273400784
GRC,2014,83.1910892684786,7.891,4.9,7.1,4.75623703,10.24459076,0.369156331,-0.289111882
GRC,2015,83.391836206767,8.22,4.6,6.7,5.622519016,10.24921608,0.531736314,-0.273337901
GRC,2016,80.197836221138,8.449,4.1,6.7,5.302619457,10.24849224,0.481616855,-0.261306584
GRC,2017,75.2899509435006,8.135,4.5,6.7,5.14824152,10.26133156,0.438300014,-0.290921479
GRC,2018,78.9536713852957,8.12,4.9,6.5,5.40928936,10.27990723,0.564455688,-0.335739225
GRC,2019,88.6877569283882,8.203,4.6,6.3,5.952157497,10.29883575,0.613584101,-0.289313048
HUN,2007,92.689721566663,7.202,24.2,12.6,4.953917027,10.14774132,0.538498104,-0.162447408
HUN,2010,88.6239758135624,7.445,24.3,10.8,4.725132465,10.1058588,0.513835371,-0.1469879
HUN,2011,88.7877350493044,7.478,23.6,11.4,4.917602539,10.12712288,0.631100118,-0.090984076
HUN,2012,90.2699318928682,7.408,22.8,11.1,4.683358192,10.11962986,0.56923151,-0.138156757
HUN,2013,87.1733200760098,7.232,20.2,10.6,4.914466858,10.14028549,0.673728287,-0.114918686
HUN,2014,81.1858156474378,7.044,18.5,10.9,5.18056345,10.18434906,0.494474709,-0.151816174
HUN,2015,82.2304917823553,6.852,18.0,10.8,5.34438324,10.22309113,0.557721376,-0.199827328
HUN,2016,89.1895057754243,6.986,16.9,11.1,5.448901653,10.24772549,0.55395174,-0.18889077
HUN,2017,86.6832486677884,6.738,15.7,10.7,6.065038681,10.29218388,0.661165953,-0.141345143
HUN,2018,93.5082431833557,6.575,15.9,11.4,5.935770988,10.34565926,0.692627072,-0.244881332
HUN,2019,94.3488207513706,6.297,14.8,10.7,6.000259876,10.39064598,0.798041046,-0.196938932
ISL,2008,97.6250974810717,8.344,12.8,7.2,6.888284206,10.8780365,0.885196149,0.267935932
ISL,2012,97.5506591489793,8.181,11.9,6.8,7.590660095,10.78808689,0.904654503,0.238064557
ISL,2013,95.7377243857934,8.176,16.3,6.8,7.501394272,10.82314682,0.9232077,0.302278221
ISL,2015,98.0283207498884,8.07,12.4,7.7,7.498070717,10.86174393,0.94048512,0.297559828
ISL,2016,98.4940034632034,8.097,12.2,7.5,7.510034561,10.90899277,0.951609552,0.27780053
ISL,2017,96.6752813280294,8.261,9.8,7.7,7.476213932,10.92663097,0.938783288,0.242981777
ISL,2019,97.370335017795,8.513,11.2,7.4,7.532504559,10.94967937,0.959470093,
ISL,2020,98.3286108557447,9.517,12.7,7.4,7.575489521,10.86630154,0.948627174,0.154635549
IRL,2006,96.4427860780884,7.516,10.7,13.4,7.144246578,10.97146511,0.943274736,0.239214137
IRL,2008,98.1298524493688,9.126,11.5,12.2,7.568029881,10.92795944,0.894108713,0.319300771
IRL,2009,95.870243188983,10.523,11.8,11.0,7.045911312,10.86545181,0.834729671,0.312667906
IRL,2010,97.2885892703225,10.526,10.8,11.6,7.257389545,10.87740135,0.85602957,0.345456243
IRL,2011,97.2799480601966,10.631,12.2,11.7,7.006904125,10.8836689,0.952034354,0.380387187
IRL,2012,96.1785896819052,10.628,12.2,11.5,6.964645386,10.87890816,0.90219456,0.299391657
IRL,2013,95.38891983384,10.309,11.1,10.6,6.760085106,10.88623333,0.883772016,0.32861793
IRL,2014,96.2899093412969,9.545,10.8,10.8,7.018379211,10.96247101,0.921629548,0.260660589
IRL,2015,95.2942523759593,7.318,9.5,10.7,6.830125332,11.17757511,0.892276943,0.229410216
IRL,2018,93.6118280398988,6.88,9.4,11.0,6.962335587,11.33530903,0.861471593,0.140902087
ITA,2007,90.0781822297869,8.136,5.8,8.4,6.574412346,10.72230911,0.684297025,0.11134439
ITA,2008,86.4423336723204,8.533,6.0,8.0,6.779774189,10.70601845,0.543076873,0.047136191
ITA,2009,86.6917793049374,8.952,6.1,7.3,6.333800316,10.64720726,0.700550497,0.238355577
ITA,2010,85.9805286551021,8.916,6.0,7.0,6.354238033,10.66111946,0.737738907,-0.061614886
ITA,2011,90.4960487878393,8.774,6.4,7.0,6.057086468,10.66644764,0.567738414,-0.019908598
ITA,2012,85.9675298660197,8.784,6.5,7.5,5.839313984,10.63348961,0.570094943,0.110765703
ITA,2013,91.2703513025944,8.775,6.5,7.4,6.009373665,10.60331535,0.499168754,-0.104334898
ITA,2014,89.6621847557754,8.868,6.2,7.6,6.026585102,10.59409428,0.623531222,-0.066907115
ITA,2015,90.6774411540582,8.857,5.9,7.1,5.847683907,10.60281086,0.574765742,-0.066245019
ITA,2016,92.1146809878216,8.725,5.7,7.1,5.95452404,10.61736202,0.623741627,-0.082592517
ITA,2017,91.7396229006388,8.678,5.8,7.4,6.198870182,10.63540173,0.632843256,-0.03712187
JPN,2007,93.5128789848035,7.779,22.7,7.7,6.238197803,10.57849312,0.796054125,-0.093880408
JPN,2008,88.0453447000352,8.089,22.3,7.5,5.91067934,10.56569099,0.77207005,-0.138788044
JPN,2009,88.6692247596267,8.959,22.8,7.4,5.844999313,10.50719833,0.729888022,-0.213364705
JPN,2010,89.6699437410333,9.063,21.7,7.3,6.056752682,10.54718113,0.771722376,-0.143666402
JPN,2011,91.2497713280288,10.488,21.4,7.3,6.262793541,10.54927063,0.814396441,-0.055324662
JPN,2012,90.067862058945,10.672,19.5,7.2,5.968216419,10.56452179,0.752831519,
JPN,2013,91.1080881653501,10.674,19.2,7.4,5.959361553,10.58581734,0.821416557,-0.150305957
JPN,2014,88.5390318453776,10.729,18.0,7.1,5.922620773,10.5901022,0.838051736,-0.14270325
JPN,2015,90.9946479178576,10.75,17.0,7.2,5.879684448,10.6066494,0.831694186,-0.158818662
JPN,2016,89.4424850515494,10.659,15.6,7.2,5.954650879,10.61531162,0.836064637,-0.065902673
JPN,2017,87.8672774537618,10.656,15.2,7.2,5.910676479,10.63357162,0.849396586,-0.209493071
JPN,2018,87.7572175597491,10.746,15.0,7.2,5.793575287,10.6411705,0.77347213,-0.264975011
JPN,2019,87.3852981330703,10.959,14.6,7.1,5.908039093,10.64595985,0.806471527,-0.258060485
KOR,2006,75.1469451769215,4.944,27.8,9.2,5.332177639,10.30863667,0.71524173,-0.054057602
KOR,2007,81.0655742901642,5.115,30.3,9.3,5.76727581,10.35996056,0.655827999,-0.06137022
KOR,2008,74.103870232178,5.399,30.3,9.5,5.389624596,10.38205242,0.52367878,-0.104317494
KOR,2009,79.4157655789997,5.782,35.3,8.9,5.647689819,10.38480091,0.600165665,-0.098047711
KOR,2010,79.7767454990922,5.917,35.0,8.9,6.116024494,10.44565201,0.676652968,-0.03539725
KOR,2011,79.1110814889121,6.008,34.7,8.9,6.946599007,10.47415543,0.68235606,-0.050680101
KOR,2012,76.7384344618131,6.133,30.3,9.0,6.003286839,10.49263954,0.61839807,
KOR,2013,78.6830563600357,6.249,29.8,8.7,5.958809853,10.51924419,0.641884267,-0.05203807
KOR,2014,72.3657406464225,6.479,27.6,8.9,5.801325321,10.54448509,0.623193622,-0.04517201
KOR,2015,75.8017188285237,6.658,26.8,9.1,5.780211449,10.56691647,0.61584878,-0.037850779
KOR,2016,79.6389613381411,6.92,25.5,8.7,5.970564365,10.59199047,0.590956032,0.024075758
KOR,2017,79.6600888508246,7.086,23.8,8.7,5.873887062,10.6202879,0.538113713,0.012043351
KOR,2018,78.8749622865189,7.52,25.5,8.5,5.840231419,10.6441946,0.600161672,-0.091402687
KOR,2019,77.8696434808904,8.141,25.4,8.3,5.902816772,10.66440201,0.706032395,-0.057978813
KOR,2020,79.9589831016371,8.364,24.1,7.9,5.792695522,10.65446377,0.711480439,-0.108758755
LUX,2010,94.9600681276742,6.662,10.5,11.9,7.097251892,11.64696693,0.908303082,0.088541098
LUX,2011,93.121681784094,5.952,10.7,11.8,7.101400375,11.63512897,0.961830735,0.099620216
LUX,2012,90.6030297807991,5.294,9.6,11.8,6.964097023,11.62747765,0.916520953,0.051006578
LUX,2013,88.2342162205672,5.236,7.6,11.4,7.130809307,11.63559151,0.789655447,-0.061582256
LUX,2014,87.4103113582243,5.23,12.2,11.6,6.89112711,11.63791466,0.937987685,0.099666253
LUX,2015,93.360458926818,5.081,11.5,11.5,6.701571465,11.6367588,0.932256401,0.047322843
LUX,2016,94.1260573820189,5.071,7.5,11.4,6.967340946,11.66378784,0.882365346,0.013620589
LUX,2017,90.4163373727221,5.135,8.7,11.3,7.061380863,11.65256405,0.90282172,0.039376598
LUX,2018,88.9778168740998,5.259,8.2,11.1,7.242630959,11.65312195,0.883929849,-0.025720127
LUX,2019,90.8806465128658,5.441,10.9,11.0,7.404015541,11.66580296,0.930321217,-0.049699824
MEX,2007,86.3187436899094,5.766,4.5,4.1,6.525378227,9.823514938,0.670430362,-0.096183963
MEX,2008,87.5446739068606,5.699,4.7,4.0,6.829036236,9.819932938,0.6774773,-0.12914446
MEX,2009,85.7939629728378,6.13,5.0,4.3,6.962819099,9.750859261,0.682463408,-0.077390425
MEX,2010,87.0753718345514,5.737,4.9,4.0,6.802388668,9.786392212,0.778120756,-0.049904257
MEX,2011,79.877739375722,5.519,5.2,4.0,6.909515381,9.808419228,0.831368089,-0.100942686
MEX,2012,75.2752400845186,5.665,4.9,3.9,7.320185184,9.8306427,0.787768304,-0.094449662
MEX,2013,73.7210901732806,5.809,5.2,3.8,7.442546368,9.830936432,0.738716662,-0.166309223
MEX,2014,76.6529950643381,5.553,5.6,4.0,6.679831028,9.846259117,0.779132903,-0.095896639
MEX,2015,75.2839561649726,5.723,5.5,4.3,6.236287117,9.866248131,0.719465971,-0.153377384
MEX,2016,88.2862900520108,5.553,5.4,4.4,6.824172974,9.880181313,0.751613081,-0.154542342
MEX,2017,79.8378636542116,5.458,5.5,4.7,6.410299301,9.889452934,0.861405134,-0.203024551
MEX,2018,85.7248243544248,5.383,5.5,4.8,6.549578667,9.89990139,0.816200495,-0.180660099
MEX,2019,84.5044741493985,5.446,5.7,4.9,6.431945324,9.887219429,0.903384447,-0.142359331
MEX,2020,76.8265492910174,6.242,6.3,3.9,5.964221001,9.789891243,0.873346984,-0.1215633
NLD,2007,93.6191080690253,9.053,8.2,9.6,7.451879501,10.87634659,0.896018088,0.3420389
NLD,2008,93.8211252412339,9.277,8.6,9.7,7.631011963,10.89392567,0.883287251,0.362875491
NLD,2010,94.8095158433934,10.155,9.4,9.1,7.501875877,10.85963345,0.921448231,0.347053498
NLD,2011,93.4674875406302,10.234,9.7,9.0,7.563797951,10.87036133,0.92543155,0.333365887
NLD,2012,93.6726974241915,10.539,10.3,9.1,7.470715523,10.85630417,0.877118647,0.285830498
NLD,2013,91.7981902110953,10.584,10.8,8.7,7.406550407,10.85205364,0.918995857,0.302244455
NLD,2014,90.4873583021474,10.567,10.6,8.4,7.32118845,10.86258888,0.910179615,0.32901597
NLD,2015,87.855206971598,10.324,10.7,8.3,7.324437141,10.87755871,0.903978765,0.259138048
NLD,2016,91.8638095443056,10.294,10.8,8.2,7.540877342,10.89391708,0.907310009,0.236339986
NLD,2017,93.3803932204991,10.108,10.8,8.3,7.458965302,10.91669846,0.920319736,0.248094365
NLD,2018,93.8509937235924,10.02,10.2,8.3,7.463097095,10.93419456,0.919985175,0.159291357
NLD,2019,93.8646420690498,10.14,10.0,8.2,7.42526865,10.94701099,0.88559252,0.210272476
NLD,2020,94.0122069032324,11.136,10.0,7.2,7.504447937,10.90274906,0.934522629,0.148469806
NZL,2006,94.4499992376831,8.638,12.7,9.3,7.305014133,10.54277897,0.932080269,0.3079409
NZL,2007,96.6532747401344,8.329,11.9,9.2,7.604173183,10.56328106,0.878218889,0.275128424
