"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2005",7.974,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2006",7.981,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2007",8.059,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2008",8.254,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2009",8.552,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2010",8.423,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2011",8.54,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2012",8.675,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2013",8.751,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2014",9.848,"B"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2015",10.184,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2016",10.09,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2017",10.126,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2018",10.074,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2019",10.23,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2020",10.646,"E"
"AUT","HEALTHEXP","TOT","PC_GDP","A","2005",9.627,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2006",9.531,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2007",9.532,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2008",9.726,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2009",10.226,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2010",10.221,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2011",10.026,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2012",10.199,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2013",10.286,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2014",10.368,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2015",10.368,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2016",10.352,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2017",10.384,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2018",10.345,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2019",10.475,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2020",11.474,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2021",12.154,"P"
"BEL","HEALTHEXP","TOT","PC_GDP","A","2005",9.224,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2006",9.13,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2007",9.136,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2008",9.595,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2009",10.321,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2010",10.202,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2011",10.363,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2012",10.48,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2013",10.549,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2014",10.575,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2015",10.774,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2016",10.763,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2017",10.752,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2018",10.788,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2019",10.664,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2020",11.065,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2005",9.035,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2006",9.342,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2007",9.445,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2008",9.608,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2009",10.719,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2010",10.702,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2011",10.408,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2012",10.515,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2013",10.415,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2014",10.258,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2015",10.744,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2016",11.033,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2017",10.862,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2018",10.846,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2019",10.95,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2020",12.94,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2021",11.665,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2005",6.341,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2006",6.164,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2007",5.986,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2008",6.33,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2009",7.249,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2010",6.875,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2011",6.928,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2012",6.979,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2013",7.722,"B"
"CZE","HEALTHEXP","TOT","PC_GDP","A","2014",7.597,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2015",7.196,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2016",7.107,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2017",7.381,"B"
"CZE","HEALTHEXP","TOT","PC_GDP","A","2018",7.472,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2019",7.605,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2020",9.24,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2005",9.091,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2006",9.169,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2007",9.325,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2008",9.511,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2009",10.674,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2010",10.608,"B"
"DNK","HEALTHEXP","TOT","PC_GDP","A","2011",10.407,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2012",10.522,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2013",10.329,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2014",10.309,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2015",10.344,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2016",10.252,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2017",10.098,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2018",10.098,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2019",10.121,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2020",10.528,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2021",10.846,"P"
"FIN","HEALTHEXP","TOT","PC_GDP","A","2005",8.288,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2006",8.284,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2007",8.084,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2008",8.343,
