"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCSUPPORT","TOT","PC","A","2006",96.6702496681354,
"AUS","SOCSUPPORT","TOT","PC","A","2007",95.7004687095747,
"AUS","SOCSUPPORT","TOT","PC","A","2008",94.1889428263911,
"AUS","SOCSUPPORT","TOT","PC","A","2010",95.3537089581459,
"AUS","SOCSUPPORT","TOT","PC","A","2011",96.6617795755098,
"AUS","SOCSUPPORT","TOT","PC","A","2012",93.8596928084393,
"AUS","SOCSUPPORT","TOT","PC","A","2013",92.7235447914386,
"AUS","SOCSUPPORT","TOT","PC","A","2014",91.9743772998874,
"AUS","SOCSUPPORT","TOT","PC","A","2015",95.1059267405367,
"AUS","SOCSUPPORT","TOT","PC","A","2016",93.6083345700604,
"AUS","SOCSUPPORT","TOT","PC","A","2017",94.9741857443996,
"AUS","SOCSUPPORT","TOT","PC","A","2018",93.2825434478657,
"AUS","SOCSUPPORT","TOT","PC","A","2019",94.0282732707376,
"AUS","SOCSUPPORT","TOT","PC","A","2020",93.4468475153565,
"AUS","SOCSUPPORT","TOT","PC","A","2021",91.6468045167303,
"AUS","SOCSUPPORT","TOT","PC","A","2022",93.814759964405,
"AUT","SOCSUPPORT","TOT","PC","A","2006",91.6049182181628,
"AUT","SOCSUPPORT","TOT","PC","A","2008",92.6689102732143,
"AUT","SOCSUPPORT","TOT","PC","A","2009",87.1156775058586,
"AUT","SOCSUPPORT","TOT","PC","A","2010",94.5737291238523,
"AUT","SOCSUPPORT","TOT","PC","A","2011",93.3273695145207,
"AUT","SOCSUPPORT","TOT","PC","A","2012",93.7536341299166,
"AUT","SOCSUPPORT","TOT","PC","A","2013",94.7957054371788,
"AUT","SOCSUPPORT","TOT","PC","A","2014",89.3943115690241,
"AUT","SOCSUPPORT","TOT","PC","A","2015",92.519775895927,
"AUT","SOCSUPPORT","TOT","PC","A","2016",92.6318595998114,
"AUT","SOCSUPPORT","TOT","PC","A","2017",90.1764678875012,
"AUT","SOCSUPPORT","TOT","PC","A","2018",90.5648375377981,
"AUT","SOCSUPPORT","TOT","PC","A","2019",95.5641676952033,
"AUT","SOCSUPPORT","TOT","PC","A","2020",92.3398579252005,
"AUT","SOCSUPPORT","TOT","PC","A","2021",86.2158558644116,
"BEL","SOCSUPPORT","TOT","PC","A","2006",92.7887812824108,
"BEL","SOCSUPPORT","TOT","PC","A","2007",91.722815834106,
"BEL","SOCSUPPORT","TOT","PC","A","2008",91.9064866963902,
"BEL","SOCSUPPORT","TOT","PC","A","2010",92.6048792132938,
"BEL","SOCSUPPORT","TOT","PC","A","2011",93.6108441258095,
"BEL","SOCSUPPORT","TOT","PC","A","2012",92.4401021126968,
"BEL","SOCSUPPORT","TOT","PC","A","2013",90.6243919052346,
"BEL","SOCSUPPORT","TOT","PC","A","2014",94.3055990702843,
"BEL","SOCSUPPORT","TOT","PC","A","2015",88.4002446285223,
"BEL","SOCSUPPORT","TOT","PC","A","2016",92.5279247326823,
"BEL","SOCSUPPORT","TOT","PC","A","2017",92.0082498034504,
"BEL","SOCSUPPORT","TOT","PC","A","2018",92.1072271268084,
"BEL","SOCSUPPORT","TOT","PC","A","2019",87.9839663451843,
