Rk,Player,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
1,Ivica Zubac,2016-17,2022-23,19-25,436,303,20.7,3.5,5.8,3.5,5.8,0.0,0.0,1.7,2.4,2.4,4.7,7.1,1.1,0.3,0.9,1.1,2.4,8.8,.605,.607,.083,.741,.641,.605,C,LACLAL,zubaciv01
2,Ante Žižić,2017-18,2019-20,21-23,113,27,13.4,2.4,4.2,2.4,4.2,0.0,0.0,1.1,1.6,1.3,2.6,3.9,0.6,0.2,0.4,0.7,1.5,6.0,.581,.581,,.711,.614,.581,F-C,CLE,zizican01
3,Paul Zipser,2016-17,2017-18,22-23,98,30,17.0,1.7,4.6,1.0,2.5,0.7,2.1,0.5,0.7,0.3,2.3,2.6,0.8,0.4,0.3,0.8,1.7,4.7,.371,.402,.335,.769,.474,.448,G-F,CHI,zipsepa01
4,Stephen Zimmerman,2016-17,2016-17,20,19,0,5.7,0.5,1.6,0.5,1.6,0.0,0.0,0.2,0.3,0.6,1.3,1.8,0.2,0.1,0.3,0.2,0.9,1.2,.323,.323,,.600,.346,.323,C,ORL,zimmest01
5,Tyler Zeller,2012-13,2019-20,23-30,414,166,17.5,2.8,5.5,2.8,5.4,0.0,0.1,1.3,1.7,1.5,2.9,4.4,0.9,0.3,0.6,0.8,2.2,6.9,.508,.512,.286,.764,.553,.511,F-C,ATLBOSBRKCLEMEMMILSAS,zellety01
6,Luke Zeller,2012-13,2012-13,25,16,0,3.6,0.6,1.6,0.5,1.3,0.1,0.3,0.0,0.0,0.1,0.6,0.6,0.2,0.0,0.0,0.0,0.3,1.2,.346,.381,.200,,.365,.365,C,PHO,zellelu01
7,Cody Zeller,2013-14,2022-23,21-30,509,275,22.0,3.2,6.1,3.1,5.8,0.1,0.3,2.0,2.8,2.0,3.9,5.9,1.4,0.6,0.6,1.1,2.6,8.4,.522,.537,.218,.730,.577,.527,C-F,CHACHOMIAPOR,zelleco01
8,Omer Yurtseven,2021-22,2022-23,23-24,65,12,12.1,2.2,4.2,2.2,3.9,0.1,0.3,0.7,1.0,1.4,3.4,4.9,0.8,0.3,0.3,0.7,1.5,5.2,.533,.555,.222,.642,.559,.540,C,MIA,yurtsom01
9,Trae Young,2018-19,2022-23,20-24,353,353,33.8,8.1,18.6,5.6,11.4,2.5,7.1,6.7,7.7,0.7,3.0,3.7,9.3,1.0,0.1,4.1,1.7,25.5,.437,.491,.351,.876,.580,.505,G,ATL,youngtr01
10,Thaddeus Young,2012-13,2022-23,24-34,778,580,28.8,5.3,10.7,4.8,9.1,0.5,1.6,1.1,1.7,2.0,4.0,6.1,2.2,1.5,0.4,1.5,2.2,12.3,.500,.531,.326,.627,.537,.525,F,BRKCHIINDMINPHISASTOR,youngth01
11,Sam Young,2012-13,2012-13,27,56,3,12.4,1.0,2.6,0.8,1.7,0.3,0.9,0.4,0.8,0.5,1.7,2.2,0.8,0.3,0.1,0.6,1.1,2.8,.392,.438,.308,.535,.464,.446,F,IND,youngsa01
12,Nick Young,2012-13,2018-19,27-33,363,96,22.7,3.8,9.4,2.0,4.5,1.8,4.9,1.8,2.2,0.4,1.7,2.1,1.0,0.6,0.2,0.8,1.7,11.3,.407,.442,.375,.843,.547,.505,G-F,DENGSWLALPHI,youngni01
13,Joe Young,2015-16,2017-18,23-25,127,1,8.5,1.3,3.4,1.0,2.3,0.3,1.1,0.4,0.5,0.1,0.9,1.0,0.9,0.3,0.0,0.5,0.6,3.4,.393,.438,.296,.768,.469,.440,G,IND,youngjo01
14,James Young,2014-15,2017-18,19-22,95,0,8.5,0.8,2.2,0.4,0.8,0.4,1.4,0.3,0.5,0.2,0.8,1.0,0.3,0.3,0.1,0.2,0.6,2.3,.367,.534,.277,.563,.474,.457,G-F,BOSPHI,youngja01
15,Gabe York,2021-22,2022-23,28-29,5,0,15.4,2.0,5.6,0.6,0.8,1.4,4.8,1.0,1.4,0.0,1.6,1.6,1.8,0.8,0.2,0.2,1.8,6.4,.357,.750,.292,.714,.515,.482,G,IND,yorkga01
16,Guerschon Yabusele,2017-18,2018-19,22-23,74,5,6.6,0.8,1.9,0.5,1.0,0.3,0.9,0.4,0.6,0.5,0.9,1.4,0.4,0.2,0.2,0.4,0.7,2.3,.442,.548,.323,.682,.550,.518,F,BOS,yabusgu01
17,Tony Wroten,2012-13,2015-16,19-22,145,34,21.2,4.0,9.6,3.4,7.1,0.6,2.5,2.6,3.9,0.7,1.8,2.5,3.0,0.9,0.2,2.6,1.8,11.1,.413,.477,.231,.647,.488,.443,G,MEMPHI,wroteto01
18,Justin Wright-Foreman,2019-20,2019-20,22,4,0,11.3,1.8,5.0,1.3,2.5,0.5,2.5,0.8,1.0,0.0,1.3,1.3,1.8,0.5,0.0,0.8,1.3,4.8,.350,.500,.200,.750,.437,.400,G,UTA,wrighju02
19,Moses Wright,2021-22,2021-22,23,4,0,3.5,0.3,1.0,0.3,0.8,0.0,0.3,0.8,0.8,0.3,0.5,0.8,0.5,0.0,0.3,0.0,0.0,1.3,.250,.333,.000,1.000,.470,.250,F,DALLAC,wrighmo01
