Rk,Player,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,From,To,Age,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
1,Ivica Zubac,12.7,24.3,8.0,0.8,3.8,14.3,16.6,2016-17,2022-23,19-25,436,303,6.1,10.1,6.1,10.0,0.0,0.0,3.0,4.1,4.2,8.2,12.4,1.9,0.6,1.6,2.0,4.1,15.2,.605,.607,.083,.741,.641,.605,C,LACLAL,zubaciv01
2,Ante Žižić,10.7,22.4,6.6,0.7,2.3,13.0,18.2,2017-18,2019-20,21-23,113,27,6.5,11.2,6.5,11.2,0.0,0.0,3.0,4.3,3.6,7.0,10.6,1.5,0.5,0.9,1.9,4.0,16.0,.581,.581,,.711,.614,.581,F-C,CLE,zizican01
3,Paul Zipser,1.8,15.1,7.0,1.0,1.6,14.6,14.8,2016-17,2017-18,22-23,98,30,3.6,9.8,2.1,5.3,1.5,4.5,1.1,1.4,0.6,4.9,5.5,1.8,0.8,0.7,1.8,3.5,9.9,.371,.402,.335,.769,.474,.448,G-F,CHI,zipsepa01
4,Stephen Zimmerman,10.8,24.9,5.3,0.9,3.7,8.3,14.8,2016-17,2016-17,20,19,0,3.3,10.3,3.3,10.3,0.0,0.0,1.0,1.7,3.7,8.0,11.7,1.3,0.7,1.7,1.0,5.7,7.7,.323,.323,,.600,.346,.323,C,ORL,zimmest01
5,Tyler Zeller,9.6,18.5,8.1,0.7,2.7,11.8,17.8,2012-13,2019-20,23-30,414,166,5.8,11.3,5.7,11.2,0.0,0.2,2.7,3.5,3.2,5.9,9.0,1.8,0.5,1.2,1.7,4.5,14.3,.508,.512,.286,.764,.553,.511,F-C,ATLBOSBRKCLEMEMMILSAS,zellety01
6,Luke Zeller,1.9,18.0,8.4,0.0,0.0,0.0,19.9,2012-13,2012-13,25,16,0,5.6,16.1,5.0,13.0,0.6,3.1,0.0,0.0,0.6,5.6,6.2,1.9,0.0,0.0,0.0,3.1,11.8,.346,.381,.200,,.365,.365,C,PHO,zellelu01
7,Cody Zeller,9.8,19.9,9.9,1.4,2.5,12.6,17.0,2013-14,2022-23,21-30,509,275,5.2,10.0,5.1,9.5,0.1,0.5,3.3,4.5,3.3,6.4,9.7,2.3,1.0,1.0,1.7,4.2,13.8,.522,.537,.218,.730,.577,.527,C-F,CHACHOMIAPOR,zelleco01
8,Omer Yurtseven,13.6,31.8,10.2,1.2,2.9,12.9,19.7,2021-22,2022-23,23-24,65,12,6.7,12.5,6.5,11.7,0.2,0.8,2.0,3.1,4.2,10.2,14.5,2.3,0.9,1.0,2.1,4.6,15.5,.533,.555,.222,.642,.559,.540,C,MIA,yurtsom01
9,Trae Young,2.2,9.7,44.1,1.4,0.4,15.9,32.6,2018-19,2022-23,20-24,353,353,8.6,19.8,6.0,12.2,2.7,7.6,7.2,8.2,0.7,3.2,3.9,9.9,1.0,0.2,4.4,1.8,27.1,.437,.491,.351,.876,.580,.505,G,ATL,youngtr01
10,Thaddeus Young,7.7,15.9,11.9,2.6,1.3,11.6,19.7,2012-13,2022-23,24-34,778,580,6.7,13.3,6.0,11.3,0.6,2.0,1.4,2.2,2.5,5.0,7.6,2.7,1.9,0.5,1.9,2.8,15.4,.500,.531,.326,.627,.537,.525,F,BRKCHIINDMINPHISASTOR,youngth01
