,CRASH DATE,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,hour,injury,land_area_in_sqmi,water_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,population,median_household_income,county,population_density
0,01/02/2023,BROOKLYN,11239,40.65444,-73.89081,WORTMAN AVENUE,,,0,0,0,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,Unspecified,Unspecified,Unspecified,Unspecified,4594894,Sedan,Unspecified,Unspecified,Unspecified,Unspecified,18,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
1,01/02/2023,BROOKLYN,11239,40.65289,-73.866745,ERSKINE STREET,GATEWAY DRIVE,,0,0,0,0,0,0,0,0,FOLLOWING TOO CLOSELY,Unspecified,Unspecified,Unspecified,Unspecified,4594896,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,17,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
2,01/02/2023,BROOKLYN,11239,40.651863,-73.86536,BELT PARKWAY,,,8,0,0,0,0,0,8,0,UNSAFE SPEED,Unspecified,Unspecified,Unspecified,Unspecified,4594855,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Unspecified,Unspecified,17,1,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
3,01/02/2023,BROOKLYN,11239,40.675133,-73.879425,,,339       GATEWAY DRIVE,1,0,1,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4595168,Sedan,Unspecified,Unspecified,Unspecified,Unspecified,11,1,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
4,01/03/2023,BROOKLYN,11239,40.645073,-73.878654,,,1515      PENNSYLVANIA AVENUE,1,0,1,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4595547,Bus,Unspecified,Unspecified,Unspecified,Unspecified,15,1,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
5,01/06/2023,BROOKLYN,11239,40.651863,-73.86536,BELT PARKWAY,,,1,0,0,0,0,0,1,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4595884,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,23,1,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
6,01/07/2023,BROOKLYN,11239,40.64511,-73.874886,BELT PARKWAY,,,0,0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4595993,Sedan,Sedan,Unspecified,Unspecified,Unspecified,12,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
7,01/07/2023,BROOKLYN,11239,40.651863,-73.86536,BELT PARKWAY,,,0,0,0,0,0,0,0,0,FOLLOWING TOO CLOSELY,Unspecified,Unspecified,Unspecified,Unspecified,4595994,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,14,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
8,01/08/2023,BROOKLYN,11239,40.645344,-73.87897,PENNSYLVANIA AVENUE,HORNELL LOOP,,2,0,0,0,0,0,2,0,FOLLOWING TOO CLOSELY,Unspecified,Unspecified,Unspecified,Unspecified,4596258,Sedan,Sedan,Unspecified,Unspecified,Unspecified,21,1,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
9,01/09/2023,BROOKLYN,11239,40.645344,-73.87897,PENNSYLVANIA AVENUE,HORNELL LOOP,,0,0,0,0,0,0,0,0,PASSING OR LANE USAGE IMPROPER,Unspecified,Unspecified,Unspecified,Unspecified,4596661,Bus,Sedan,Unspecified,Unspecified,Unspecified,16,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
10,01/11/2023,BROOKLYN,11239,40.64254,-73.87652,BELT PARKWAY,,,1,0,0,0,0,0,1,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4597136,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,18,1,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
11,01/13/2023,BROOKLYN,11239,40.645344,-73.87897,PENNSYLVANIA AVENUE,HORNELL LOOP,,0,0,0,0,0,0,0,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4598222,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,9,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
12,01/16/2023,BROOKLYN,11239,40.65289,-73.866745,GATEWAY DRIVE,,,0,0,0,0,0,0,0,0,REACTION TO UNINVOLVED VEHICLE,Unspecified,Unspecified,Unspecified,Unspecified,4598227,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,18,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
13,01/16/2023,BROOKLYN,11239,40.651863,-73.86536,BELT PARKWAY,,,0,0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4598577,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,20,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
14,01/16/2023,BROOKLYN,11239,40.651863,-73.86536,BELT PARKWAY,,,5,0,0,0,0,0,5,0,FOLLOWING TOO CLOSELY,Following Too Closely,Following Too Closely,Following Too Closely,Unspecified,4598244,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Unspecified,15,1,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
15,01/16/2023,BROOKLYN,11239,,,,,409       SCHROEDERS AVENUE,0,0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4598798,Sedan,Unspecified,Unspecified,Unspecified,Unspecified,10,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
16,01/17/2023,BROOKLYN,11239,40.651974,-73.86542,BELT PARKWAY,,,0,0,0,0,0,0,0,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4598576,Sedan,Sedan,Unspecified,Unspecified,Unspecified,9,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
17,01/18/2023,BROOKLYN,11239,40.651974,-73.86542,BELT PARKWAY,,,1,0,0,0,0,0,1,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4600000,Sedan,Sedan,Sedan,Unspecified,Unspecified,17,1,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
18,01/18/2023,BROOKLYN,11239,40.638542,-73.875694,,,855       LOUISIANA AVENUE,0,0,0,0,0,0,0,0,PASSING TOO CLOSELY,Unspecified,Unspecified,Unspecified,Unspecified,4599999,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,8,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
19,01/19/2023,BROOKLYN,11239,40.651863,-73.86536,BELT PARKWAY,,,1,0,0,0,0,0,1,0,FOLLOWING TOO CLOSELY,Unspecified,Unspecified,Unspecified,Unspecified,4599107,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,12,1,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
