,_sa_instance_state,state,land_area_in_sqmi,bounds_east,lat,water_area_in_sqmi,bounds_north,zipcode_type,lng,housing_units,bounds_south,zipcode,timezone,occupied_housing_units,major_city,radius_in_miles,post_office_city,area_code_list,median_home_value,common_city_list,population,median_household_income,county,population_density,bounds_west,borough
0,<sqlalchemy.orm.state.InstanceState object at 0x12f89e020>,NY,0.92,-73.899949,40.85,0.0,40.860601,STANDARD,-73.91,27018.0,40.844632,10453,America/New_York,25307.0,Bronx,0.9659090909090909,"Bronx, NY",718,445200.0,['Bronx'],78309.0,25470.0,Bronx County,85491.0,-73.928242,Bronx
1,<sqlalchemy.orm.state.InstanceState object at 0x12f89e080>,NY,1.06,-73.88382,40.85,0.0,40.85742,STANDARD,-73.9,24364.0,40.836592,10457,America/New_York,22873.0,Bronx,1.0,"Bronx, NY","718,212,347,646,917,929",397500.0,['Bronx'],70496.0,24949.0,Bronx County,66425.0,-73.913137,Bronx
2,<sqlalchemy.orm.state.InstanceState object at 0x12f89e0e0>,NY,1.32,-73.862943,40.84,0.0,40.857077,STANDARD,-73.87,20706.0,40.830408,10460,America/New_York,19512.0,Bronx,1.0,"Bronx, NY",212,391700.0,['Bronx'],57311.0,22307.0,Bronx County,43567.0,-73.896966,Bronx
3,<sqlalchemy.orm.state.InstanceState object at 0x12f89e140>,NY,1.01,-73.877418,40.86,0.0,40.878545,STANDARD,-73.89,27806.0,40.850949,10458,America/New_York,26201.0,Bronx,2.0,"Bronx, NY",718,330300.0,['Bronx'],79492.0,24618.0,Bronx County,78784.0,-73.899949,Bronx
4,<sqlalchemy.orm.state.InstanceState object at 0x12f89e1a0>,NY,2.33,-73.855691,40.87,0.0,40.908016,STANDARD,-73.87,37432.0,40.857266,10467,America/New_York,35524.0,Bronx,2.0,"Bronx, NY","347,718",369500.0,['Bronx'],97060.0,36048.0,Bronx County,41649.0,-73.89571,Bronx
5,<sqlalchemy.orm.state.InstanceState object at 0x12f89e200>,NY,1.08,-73.884855,40.87,0.02,40.882923,STANDARD,-73.9,26178.0,40.856015,10468,America/New_York,24909.0,Bronx,1.0,"Bronx, NY",718,171200.0,['Bronx'],76103.0,33776.0,Bronx County,70778.0,-73.91929,Bronx
6,<sqlalchemy.orm.state.InstanceState object at 0x12f89e260>,NY,1.01,-73.908709,40.82,0.0,40.830915,STANDARD,-73.93,17779.0,40.807955,10451,America/New_York,17106.0,Bronx,1.0,"Bronx, NY",718,170600.0,['Bronx'],45713.0,26754.0,Bronx County,45043.0,-73.932941,Bronx
7,<sqlalchemy.orm.state.InstanceState object at 0x12f89e2c0>,NY,0.98,-73.911049,40.84,0.0,40.84652,STANDARD,-73.92,25866.0,40.826854,10452,America/New_York,24796.0,Bronx,0.9090909090909091,"Bronx, NY","347,646,917,929,212,718",402800.0,['Bronx'],75371.0,25979.0,Bronx County,76548.0,-73.933406,Bronx
8,<sqlalchemy.orm.state.InstanceState object at 0x12f89e320>,NY,1.02,-73.896302,40.83,0.0,40.839844,STANDARD,-73.91,29651.0,40.817925,10456,America/New_York,28122.0,Bronx,1.0,"Bronx, NY","718,212,347,646,917,929",388600.0,['Bronx'],86547.0,23452.0,Bronx County,84979.0,-73.920461,Bronx
9,<sqlalchemy.orm.state.InstanceState object at 0x12f89e380>,NY,1.04,-73.901892,40.81,0.0,40.813731,STANDARD,-73.92,12772.0,40.796686,10454,America/New_York,11978.0,Bronx,1.0,"Bronx, NY",718,386000.0,['Bronx'],37337.0,20232.0,Bronx County,35820.0,-73.931681,Bronx
10,<sqlalchemy.orm.state.InstanceState object at 0x12f89e3e0>,NY,0.71,-73.895158,40.81,0.0,40.821277,STANDARD,-73.91,13851.0,40.807308,10455,America/New_York,12880.0,Bronx,0.9090909090909091,"Bronx, NY",718,318600.0,['Bronx'],39665.0,22609.0,Bronx County,55696.0,-73.922088,Bronx
11,<sqlalchemy.orm.state.InstanceState object at 0x12f89e440>,NY,0.82,-73.879983,40.83,0.0,40.835463,STANDARD,-73.89,16496.0,40.815845,10459,America/New_York,15398.0,Bronx,0.9090909090909091,"Bronx, NY",718,343900.0,['Bronx'],47308.0,24461.0,Bronx County,57907.0,-73.90299,Bronx
12,<sqlalchemy.orm.state.InstanceState object at 0x12f89e4a0>,NY,1.53,-73.868379,40.81,0.0,40.82316,STANDARD,-73.88,3985.0,40.800412,10474,America/New_York,3633.0,Bronx,2.0,"Bronx, NY",718,351800.0,['Bronx'],12281.0,25676.0,Bronx County,8010.0,-73.902988,Bronx
13,<sqlalchemy.orm.state.InstanceState object at 0x12f89e500>,NY,1.54,-73.899041,40.66,0.0,40.675507,STANDARD,-73.91,31847.0,40.653745,11212,America/New_York,30201.0,Brooklyn,1.0,"Brooklyn, NY",718,391700.0,['Brooklyn'],84500.0,28348.0,Kings County,54944.0,-73.931607,Brooklyn
14,<sqlalchemy.orm.state.InstanceState object at 0x12f89e560>,NY,1.09,-73.924244,40.67,0.0,40.679938,STANDARD,-73.94,24974.0,40.663021,11213,America/New_York,23142.0,Brooklyn,0.8522727272727273,"Brooklyn, NY","347,718,917,929",582300.0,['Brooklyn'],63767.0,34794.0,Kings County,58448.0,-73.948067,Brooklyn
15,<sqlalchemy.orm.state.InstanceState object at 0x12f89e5c0>,NY,0.94,-73.937398,40.68,0.0,40.692765,STANDARD,-73.95,25964.0,40.669705,11216,America/New_York,23193.0,Brooklyn,1.0,"Brooklyn, NY","347,718,917,929",623300.0,['Brooklyn'],54316.0,43996.0,Kings County,58065.0,-73.957974,Brooklyn
16,<sqlalchemy.orm.state.InstanceState object at 0x12f89e620>,NY,1.35,-73.902679,40.68,0.0,40.687213,STANDARD,-73.92,29074.0,40.666445,11233,America/New_York,25693.0,Brooklyn,1.0,"Brooklyn, NY",718,551900.0,['Brooklyn'],67053.0,34492.0,Kings County,49746.0,-73.938223,Brooklyn
