Rk,Player,G,Season,Age,Team,PLAY_G,PLAY_GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PLAY_PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
1,Álex Abrines,5,2016-17,23,OKC,5,0,16.0,1.6,4.6,0.6,1.2,1.0,3.4,0.6,0.8,0.4,1.4,1.8,0.8,0.0,0.0,0.0,1.6,4.8,.348,.500,.294,.750,.485,.457,G-F,abrinal01
2,Álex Abrines,6,2017-18,24,OKC,6,0,18.3,1.3,3.3,0.3,1.2,1.0,2.2,0.3,0.3,0.5,2.2,2.7,0.3,0.8,0.3,0.2,1.8,4.0,.400,.286,.462,1.000,.575,.550,G-F,abrinal01
3,Precious Achiuwa,6,2021-22,22,TOR,6,1,27.8,4.2,8.7,3.3,6.0,0.8,2.7,1.0,1.7,1.3,3.5,4.8,1.0,0.2,0.8,1.5,2.3,10.2,.481,.556,.313,.600,.541,.529,F,achiupr01
4,Jordan Adams,4,2014-15,20,MEM,4,0,2.5,0.5,0.8,0.3,0.5,0.3,0.3,0.5,1.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,1.8,.667,.500,1.000,.500,.735,.833,G,adamsjo01
5,Steven Adams,18,2013-14,20,OKC,18,0,18.4,1.7,2.5,1.7,2.5,0.0,0.0,0.4,1.3,1.2,2.9,4.1,0.2,0.1,1.3,0.6,2.7,3.9,.689,.689,,.348,.635,.689,C,adamsst01
6,Steven Adams,18,2015-16,22,OKC,18,18,30.7,3.8,6.2,3.8,6.1,0.0,0.1,2.6,4.1,3.4,6.1,9.5,0.7,0.5,0.8,0.9,3.1,10.1,.613,.618,.000,.630,.636,.613,C,adamsst01
7,Steven Adams,5,2016-17,23,OKC,5,5,31.4,3.6,5.6,3.6,5.6,0.0,0.0,0.8,2.2,3.4,3.4,6.8,1.4,1.2,1.8,0.8,2.8,8.0,.643,.643,,.364,.609,.643,C,adamsst01
8,Steven Adams,6,2017-18,24,OKC,6,6,33.3,4.5,7.7,4.5,7.7,0.0,0.0,1.5,2.2,3.2,4.3,7.5,1.5,0.7,0.7,0.7,2.5,10.5,.587,.587,,.692,.609,.587,C,adamsst01
9,Steven Adams,5,2018-19,25,OKC,5,5,31.8,5.6,8.4,5.6,8.2,0.0,0.2,0.6,1.6,2.4,4.8,7.2,1.4,1.0,1.0,1.8,2.6,11.8,.667,.683,.000,.375,.648,.667,C,adamsst01
10,Steven Adams,7,2019-20,26,OKC,7,7,30.0,4.4,7.4,4.4,7.3,0.0,0.1,1.3,2.9,4.9,6.7,11.6,1.3,0.6,0.3,2.3,1.4,10.1,.596,.608,.000,.450,.584,.596,C,adamsst01
11,Steven Adams,7,2021-22,28,MEM,7,5,16.3,1.3,3.0,1.3,3.0,0.0,0.0,0.9,1.6,2.1,4.3,6.4,2.1,0.1,0.1,0.6,1.7,3.4,.429,.429,,.545,.464,.429,C,adamsst01
12,Bam Adebayo,5,2017-18,20,MIA,5,0,15.4,1.4,3.0,1.4,2.8,0.0,0.2,0.6,2.8,1.8,2.2,4.0,0.0,0.0,0.4,0.4,1.6,3.4,.467,.500,.000,.214,.402,.467,C-F,adebaba01
13,Bam Adebayo,19,2019-20,22,MIA,19,19,36.2,6.5,11.6,6.5,11.5,0.0,0.1,4.7,6.1,2.5,7.8,10.3,4.4,1.0,0.8,2.5,3.1,17.8,.564,.566,.000,.783,.625,.564,C-F,adebaba01
14,Bam Adebayo,4,2020-21,23,MIA,4,4,34.0,6.5,14.3,6.5,14.3,0.0,0.0,2.5,3.3,3.5,5.8,9.3,4.3,1.3,0.5,2.8,2.8,15.5,.456,.456,,.769,.494,.456,C-F,adebaba01
15,Bam Adebayo,18,2021-22,24,MIA,18,18,34.1,5.8,9.7,5.8,9.7,0.0,0.1,3.2,4.2,2.1,5.9,8.0,2.7,1.0,0.7,2.1,3.1,14.8,.594,.598,.000,.763,.638,.594,C-F,adebaba01
16,Arron Afflalo,7,2011-12,26,DEN,7,7,32.7,4.3,10.6,3.7,7.7,0.6,2.9,1.7,2.1,0.7,2.9,3.6,2.7,0.7,0.3,1.3,2.0,10.9,.405,.481,.200,.800,.471,.432,G-F,afflaar01
17,Cole Aldrich,5,2011-12,23,OKC,5,0,5.0,0.8,1.8,0.8,1.8,0.0,0.0,0.4,0.8,1.0,1.6,2.6,0.0,0.0,0.0,0.0,0.6,2.0,.444,.444,,.500,.465,.444,C,aldrico01
18,Cole Aldrich,6,2015-16,27,LAC,6,0,12.8,1.7,2.5,1.7,2.5,0.0,0.0,0.5,1.0,1.3,3.7,5.0,0.5,1.0,0.5,0.3,1.8,3.8,.667,.667,,.500,.652,.667,C,aldrico01
19,LaMarcus Aldridge,11,2013-14,28,POR,11,11,40.1,10.3,22.7,10.1,22.5,0.2,0.3,5.5,6.8,2.7,7.9,10.6,1.5,0.6,1.6,1.7,3.6,26.2,.452,.449,.667,.800,.509,.456,F-C,aldrila01
20,LaMarcus Aldridge,5,2014-15,29,POR,5,5,41.6,7.4,22.4,6.8,20.2,0.6,2.2,6.4,7.2,4.2,7.0,11.2,1.8,0.4,2.4,1.6,3.2,21.8,.330,.337,.273,.889,.426,.344,F-C,aldrila01
21,LaMarcus Aldridge,10,2015-16,30,SAS,10,10,33.7,8.8,16.9,8.6,16.7,0.2,0.2,4.1,4.6,2.2,6.1,8.3,1.0,0.4,1.4,1.1,1.8,21.9,.521,.515,1.000,.891,.579,.527,F-C,aldrila01
22,LaMarcus Aldridge,16,2016-17,31,SAS,16,16,33.6,6.9,15.0,6.8,14.1,0.1,0.9,2.6,3.4,2.7,4.8,7.4,1.5,0.6,1.0,1.8,2.6,16.5,.458,.478,.143,.764,.500,.463,F-C,aldrila01
23,LaMarcus Aldridge,5,2017-18,32,SAS,5,5,35.4,7.4,16.0,6.8,15.0,0.6,1.0,8.2,8.4,2.6,6.6,9.2,2.4,0.6,0.4,1.8,1.8,23.6,.463,.453,.600,.976,.599,.481,F-C,aldrila01
