Rk,Player,ORtg,DRtg,PER,TRB%,AST%,STL%,BLK%,TOV%,USG%,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
1,Ivica Zubac,125,112,16.7,19.5,5.1,0.7,4.0,15.9,14.8,2022-23,2022-23,25,76,76,28.6,4.3,6.8,4.3,6.7,0.0,0.0,2.2,3.1,3.1,6.8,9.9,1.0,0.4,1.3,1.5,2.9,10.8,.634,.637,.000,.697,.661,.634,C,LAC,zubaciv01
2,Cody Zeller,124,114,16.4,17.3,7.2,0.7,1.9,15.8,18.1,2022-23,2022-23,30,15,2,14.5,2.5,3.9,2.5,3.8,0.0,0.1,1.6,2.3,1.7,2.6,4.3,0.7,0.2,0.3,0.9,2.2,6.5,.627,.649,.000,.686,.659,.627,C-F,MIA,zelleco01
3,Omer Yurtseven,126,112,16.7,16.2,3.9,1.2,2.5,11.9,18.0,2022-23,2022-23,24,9,0,9.2,1.8,3.0,1.4,2.2,0.3,0.8,0.6,0.7,0.9,1.7,2.6,0.2,0.2,0.2,0.4,1.8,4.4,.593,.650,.429,.833,.675,.648,C,MIA,yurtsom01
4,Trae Young,116,119,22.0,4.7,42.5,1.5,0.3,15.2,32.6,2022-23,2022-23,24,73,73,34.8,8.2,19.0,6.1,12.7,2.1,6.3,7.8,8.8,0.8,2.2,3.0,10.2,1.1,0.1,4.1,1.4,26.2,.429,.476,.335,.886,.573,.485,G,ATL,youngtr01
5,Thaddeus Young,117,112,14.1,11.8,12.9,3.4,0.6,16.7,13.5,2022-23,2022-23,34,54,9,14.7,2.0,3.7,1.9,3.0,0.1,0.6,0.3,0.5,1.3,1.8,3.1,1.4,1.0,0.1,0.8,1.6,4.4,.545,.622,.176,.692,.573,.561,F,TOR,youngth01
6,Gabe York,122,120,11.8,5.9,12.3,1.7,0.0,0.0,16.4,2022-23,2022-23,29,3,0,18.7,2.7,7.0,0.7,1.0,2.0,6.0,0.7,0.7,0.0,2.0,2.0,1.7,0.7,0.0,0.0,1.7,8.0,.381,.667,.333,1.000,.548,.524,G,IND,yorkga01
7,McKinley Wright IV,113,118,12.4,8.2,25.2,1.2,1.3,15.2,16.9,2022-23,2022-23,24,27,1,12.4,1.7,3.6,1.4,2.6,0.3,1.0,0.5,0.7,0.3,1.4,1.7,2.1,0.3,0.2,0.7,0.9,4.2,.469,.529,.321,.684,.536,.515,G,DAL,wrighmc01
8,Delon Wright,127,112,16.3,8.2,20.9,3.7,1.2,12.2,12.9,2022-23,2022-23,30,50,14,24.4,2.8,5.8,1.9,3.4,0.8,2.4,1.0,1.2,1.2,2.4,3.6,3.9,1.8,0.3,0.9,1.2,7.4,.474,.564,.345,.867,.581,.545,G,WAS,wrighde01
9,Christian Wood,116,113,20.6,16.4,11.7,0.9,3.7,11.9,26.4,2022-23,2022-23,27,67,17,25.9,5.9,11.5,4.3,7.3,1.6,4.2,3.2,4.2,1.3,6.0,7.3,1.8,0.4,1.1,1.8,2.5,16.6,.515,.594,.376,.772,.624,.583,F,DAL,woodch01
10,James Wiseman,112,116,15.6,17.0,5.5,0.4,2.7,11.8,21.2,2022-23,2022-23,21,45,22,19.3,4.2,7.5,4.1,7.1,0.1,0.4,1.5,2.2,1.6,4.3,5.9,0.7,0.2,0.6,1.1,2.4,10.0,.558,.580,.200,.701,.589,.563,C,DETGSW,wisemja01
