,Player,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,Age,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
0,Ivica Zubac,12.7,24.3,8.0,0.8,3.8,14.3,16.6,19-25,436,303,6.1,10.1,6.1,10.0,0.0,0.0,3.0,4.1,4.2,8.2,12.4,1.9,0.6,1.6,2.0,4.1,15.2,0.605,0.607,0.083,0.741,0.641,0.605,C
1,Ante Žižić,10.7,22.4,6.6,0.7,2.3,13.0,18.2,21-23,113,27,6.5,11.2,6.5,11.2,0.0,0.0,3.0,4.3,3.6,7.0,10.6,1.5,0.5,0.9,1.9,4.0,16.0,0.581,0.581,0.0,0.711,0.614,0.581,F-C
2,Paul Zipser,1.8,15.1,7.0,1.0,1.6,14.6,14.8,22-23,98,30,3.6,9.8,2.1,5.3,1.5,4.5,1.1,1.4,0.6,4.9,5.5,1.8,0.8,0.7,1.8,3.5,9.9,0.371,0.402,0.335,0.769,0.474,0.448,G-F
4,Tyler Zeller,9.6,18.5,8.1,0.7,2.7,11.8,17.8,23-30,414,166,5.8,11.3,5.7,11.2,0.0,0.2,2.7,3.5,3.2,5.9,9.0,1.8,0.5,1.2,1.7,4.5,14.3,0.508,0.512,0.286,0.764,0.553,0.511,F-C
6,Cody Zeller,9.8,19.9,9.9,1.4,2.5,12.6,17.0,21-30,509,275,5.2,10.0,5.1,9.5,0.1,0.5,3.3,4.5,3.3,6.4,9.7,2.3,1.0,1.0,1.7,4.2,13.8,0.522,0.537,0.218,0.73,0.577,0.527,C-F
8,Trae Young,2.2,9.7,44.1,1.4,0.4,15.9,32.6,20-24,353,353,8.6,19.8,6.0,12.2,2.7,7.6,7.2,8.2,0.7,3.2,3.9,9.9,1.0,0.2,4.4,1.8,27.1,0.437,0.491,0.351,0.876,0.58,0.505,G
9,Thaddeus Young,7.7,15.9,11.9,2.6,1.3,11.6,19.7,24-34,778,580,6.7,13.3,6.0,11.3,0.6,2.0,1.4,2.2,2.5,5.0,7.6,2.7,1.9,0.5,1.9,2.8,15.4,0.5,0.531,0.326,0.627,0.537,0.525,F
11,Nick Young,1.7,8.4,6.9,1.2,0.6,7.3,21.7,27-33,363,96,6.1,14.9,3.2,7.1,2.9,7.8,2.9,3.5,0.6,2.7,3.3,1.5,0.9,0.3,1.3,2.7,17.9,0.407,0.442,0.375,0.843,0.547,0.505,G-F
12,Joe Young,2.0,11.4,17.0,1.5,0.1,12.3,21.5,23-25,127,1,5.6,14.3,4.3,9.8,1.3,4.5,1.8,2.3,0.6,3.7,4.3,4.0,1.1,0.0,2.1,2.5,14.3,0.393,0.438,0.296,0.768,0.469,0.44,G
13,James Young,2.5,10.4,4.8,1.5,0.5,6.1,13.2,19-22,95,0,3.4,9.3,1.7,3.2,1.7,6.1,1.2,2.1,0.8,3.4,4.3,1.2,1.1,0.2,0.7,2.6,9.7,0.367,0.534,0.277,0.563,0.474,0.457,G-F
