Player,Age,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
Ivica Zubac,19-25,436,20.7,3.5,5.8,3.5,5.8,0.0,0.0,1.7,2.4,2.4,4.7,7.1,1.1,0.3,0.9,1.1,2.4,8.8,0.605,0.607,0.083,0.741,0.641,0.605,C
Ante Žižić,21-23,113,13.4,2.4,4.2,2.4,4.2,0.0,0.0,1.1,1.6,1.3,2.6,3.9,0.6,0.2,0.4,0.7,1.5,6.0,0.581,0.581,0.0,0.711,0.614,0.581,F-C
Paul Zipser,22-23,98,17.0,1.7,4.6,1.0,2.5,0.7,2.1,0.5,0.7,0.3,2.3,2.6,0.8,0.4,0.3,0.8,1.7,4.7,0.371,0.402,0.335,0.769,0.474,0.448,G-F
Tyler Zeller,23-30,414,17.5,2.8,5.5,2.8,5.4,0.0,0.1,1.3,1.7,1.5,2.9,4.4,0.9,0.3,0.6,0.8,2.2,6.9,0.508,0.512,0.286,0.764,0.553,0.511,F-C
Cody Zeller,21-30,509,22.0,3.2,6.1,3.1,5.8,0.1,0.3,2.0,2.8,2.0,3.9,5.9,1.4,0.6,0.6,1.1,2.6,8.4,0.522,0.537,0.218,0.73,0.577,0.527,C-F
Omer Yurtseven,23-24,65,12.1,2.2,4.2,2.2,3.9,0.1,0.3,0.7,1.0,1.4,3.4,4.9,0.8,0.3,0.3,0.7,1.5,5.2,0.533,0.555,0.222,0.642,0.559,0.54,C
Trae Young,20-24,353,33.8,8.1,18.6,5.6,11.4,2.5,7.1,6.7,7.7,0.7,3.0,3.7,9.3,1.0,0.1,4.1,1.7,25.5,0.437,0.491,0.351,0.876,0.58,0.505,G
Thaddeus Young,24-34,778,28.8,5.3,10.7,4.8,9.1,0.5,1.6,1.1,1.7,2.0,4.0,6.1,2.2,1.5,0.4,1.5,2.2,12.3,0.5,0.531,0.326,0.627,0.537,0.525,F
Sam Young,27,56,12.4,1.0,2.6,0.8,1.7,0.3,0.9,0.4,0.8,0.5,1.7,2.2,0.8,0.3,0.1,0.6,1.1,2.8,0.392,0.438,0.308,0.535,0.464,0.446,F
Nick Young,27-33,363,22.7,3.8,9.4,2.0,4.5,1.8,4.9,1.8,2.2,0.4,1.7,2.1,1.0,0.6,0.2,0.8,1.7,11.3,0.407,0.442,0.375,0.843,0.547,0.505,G-F
Tony Wroten,19-22,145,21.2,4.0,9.6,3.4,7.1,0.6,2.5,2.6,3.9,0.7,1.8,2.5,3.0,0.9,0.2,2.6,1.8,11.1,0.413,0.477,0.231,0.647,0.488,0.443,G
Dorell Wright,27-29,195,17.2,2.2,5.6,0.9,2.1,1.3,3.4,1.1,1.3,0.4,2.7,3.1,1.3,0.5,0.3,0.6,1.1,6.6,0.387,0.422,0.365,0.817,0.539,0.5,F-G
Delon Wright,23-30,461,21.3,2.6,5.8,2.0,3.9,0.7,1.9,1.2,1.5,0.8,2.4,3.2,3.1,1.2,0.4,1.0,1.1,7.2,0.455,0.507,0.353,0.805,0.556,0.515,G
Brandan Wright,25-30,265,17.8,3.3,5.2,3.3,5.2,0.0,0.0,1.0,1.5,1.5,2.4,3.9,0.5,0.5,1.1,0.5,1.4,7.6,0.631,0.634,0.0,0.667,0.645,0.631,F-C
Metta World Peace,33-37,164,22.4,2.8,7.4,1.6,3.8,1.2,3.6,1.1,1.6,0.9,2.4,3.3,1.0,1.1,0.4,0.8,2.0,7.9,0.382,0.432,0.328,0.713,0.491,0.462,F
Christian Wood,20-27,289,24.2,5.4,10.3,4.0,6.9,1.3,3.5,2.7,4.0,1.5,5.9,7.3,1.5,0.6,0.9,1.5,2.0,14.8,0.518,0.588,0.379,0.693,0.611,0.582,F
Nate Wolters,22-26,84,18.8,2.3,5.4,2.1,4.6,0.2,0.8,0.7,1.1,0.5,1.7,2.2,2.5,0.5,0.2,0.8,1.0,5.5,0.423,0.452,0.261,0.635,0.466,0.442,G
James Wiseman,19-21,84,20.3,4.5,8.4,4.3,7.7,0.2,0.7,1.5,2.2,1.5,4.3,5.9,0.7,0.2,0.8,1.3,2.7,10.7,0.537,0.561,0.276,0.667,0.57,0.549,C
Justise Winslow,19-26,344,25.9,3.3,7.9,2.6,5.8,0.7,2.1,1.0,1.6,1.1,4.1,5.1,2.6,0.9,0.4,1.5,2.3,8.2,0.412,0.448,0.315,0.638,0.477,0.455,F
D.J. Wilson,21-25,146,12.3,1.7,4.0,1.0,2.0,0.7,2.0,0.4,0.7,0.5,2.5,3.1,0.7,0.3,0.3,0.5,1.2,4.4,0.419,0.514,0.327,0.618,0.516,0.502,F
Zion Williamson,19-22,114,32.0,9.9,16.4,9.7,15.8,0.2,0.6,5.8,8.4,2.5,4.4,7.0,3.6,0.9,0.6,2.9,2.1,25.8,0.605,0.615,0.343,0.691,0.643,0.611,F-C
Ziaire Williams,20-21,99,19.3,2.8,6.3,1.8,2.8,1.0,3.4,0.6,0.8,0.4,1.7,2.1,1.0,0.5,0.2,0.8,1.7,7.2,0.444,0.619,0.298,0.779,0.544,0.525,F
Troy Williams,22-24,72,16.3,2.3,5.2,1.7,3.2,0.6,2.0,0.7,1.1,0.7,2.0,2.7,0.7,0.8,0.3,0.8,1.8,6.0,0.449,0.543,0.299,0.649,0.526,0.507,F
Terrence Williams,25,24,13.3,2.0,4.0,1.8,3.4,0.2,0.6,0.4,0.9,0.2,1.7,1.8,1.6,0.5,0.1,0.9,0.5,4.6,0.495,0.524,0.333,0.429,0.518,0.521,F
Shawne Williams,27-28,99,18.6,2.0,5.0,0.9,1.9,1.1,3.1,0.5,0.6,0.6,2.7,3.4,0.7,0.4,0.5,0.5,2.3,5.5,0.394,0.476,0.345,0.817,0.524,0.502,F
Robert Williams,21-25,209,20.5,3.3,4.5,3.3,4.5,0.0,0.0,0.8,1.2,2.6,4.3,6.9,1.4,0.7,1.7,0.9,1.9,7.3,0.732,0.735,0.0,0.656,0.733,0.732,C-F
Patrick Williams,19-21,170,27.8,3.7,7.7,2.6,5.1,1.1,2.6,1.2,1.6,0.9,3.3,4.3,1.3,0.9,0.7,1.3,1.8,9.7,0.477,0.509,0.414,0.779,0.575,0.547,F
Mo Williams,30-33,229,26.1,4.3,10.3,3.0,6.7,1.3,3.6,1.5,1.8,0.4,1.8,2.2,4.9,0.7,0.2,2.2,2.3,11.4,0.415,0.445,0.358,0.878,0.514,0.478,G
Marvin Williams,26-33,585,26.2,3.3,7.6,1.9,3.7,1.4,3.8,1.1,1.4,1.0,4.1,5.1,1.2,0.8,0.6,0.8,1.8,9.1,0.436,0.502,0.371,0.811,0.559,0.529,F
Mark Williams,21,43,19.3,3.7,5.8,3.7,5.8,0.0,0.0,1.6,2.3,2.2,4.9,7.1,0.4,0.7,1.0,0.9,2.2,9.0,0.637,0.637,0.0,0.691,0.659,0.637,C
Lou Williams,26-35,668,25.7,5.0,11.9,3.3,7.3,1.6,4.5,4.1,4.7,0.4,2.0,2.4,3.6,0.9,0.2,1.9,1.2,15.6,0.418,0.456,0.357,0.865,0.56,0.487,G
Kenrich Williams,24-28,253,22.2,2.8,5.9,1.9,3.5,0.9,2.5,0.4,0.8,1.4,3.2,4.6,2.0,0.9,0.3,0.8,2.1,6.8,0.468,0.551,0.352,0.52,0.544,0.541,G-F
Johnathan Williams,23-24,39,14.2,2.2,3.7,2.2,3.6,0.0,0.1,0.9,1.6,1.8,2.3,4.2,0.5,0.2,0.4,0.5,2.0,5.2,0.583,0.6,0.0,0.557,0.591,0.583,F
Jaylin Williams,20,49,18.7,2.1,4.8,1.1,2.5,0.9,2.3,0.8,1.1,0.9,4.0,4.9,1.6,0.6,0.2,0.8,2.3,5.9,0.436,0.463,0.407,0.704,0.559,0.534,F
Jalen Williams,21,75,30.3,5.5,10.6,4.5,7.9,1.0,2.7,2.1,2.5,1.1,3.4,4.5,3.3,1.4,0.5,1.6,2.5,14.1,0.521,0.579,0.356,0.812,0.601,0.567,G
Grant Williams,21-24,288,21.2,2.1,4.7,1.1,2.1,1.0,2.7,0.9,1.1,0.9,2.6,3.4,1.2,0.5,0.5,0.9,2.4,6.2,0.451,0.546,0.379,0.773,0.588,0.558,F
Elliot Williams,24-26,85,15.5,1.8,4.5,1.3,2.8,0.5,1.7,1.1,1.5,0.4,1.3,1.7,1.0,0.5,0.0,0.9,1.6,5.3,0.406,0.464,0.313,0.717,0.51,0.466,G
Derrick Williams,21-26,362,20.6,3.1,7.1,2.5,5.2,0.6,1.9,2.1,3.0,0.8,3.1,3.8,0.7,0.5,0.2,0.9,1.2,8.9,0.438,0.488,0.306,0.713,0.531,0.48,F
Deron Williams,28-32,339,31.8,5.0,11.8,3.4,7.4,1.6,4.3,2.8,3.4,0.3,2.6,2.9,6.4,1.0,0.2,2.4,2.3,14.4,0.426,0.462,0.365,0.841,0.545,0.493,G
C.J. Williams,27-28,53,15.8,2.0,4.4,1.5,2.6,0.5,1.8,0.2,0.3,0.2,1.0,1.2,1.0,0.7,0.2,0.5,1.5,4.7,0.448,0.558,0.287,0.765,0.518,0.506,G
Brandon Williams,22,24,26.7,4.4,11.8,3.1,7.3,1.3,4.4,2.8,4.0,0.8,2.3,3.1,3.9,1.0,0.4,2.4,2.2,12.9,0.372,0.42,0.292,0.701,0.476,0.427,G
Alan Williams,23-26,67,13.0,2.4,4.8,2.4,4.8,0.0,0.0,1.3,2.1,1.7,3.8,5.5,0.6,0.6,0.6,0.8,2.3,6.2,0.506,0.509,0.0,0.626,0.539,0.506,F-C
Damien Wilkins,33-38,80,15.6,2.0,4.4,1.7,3.6,0.3,0.9,1.1,1.4,0.5,1.1,1.5,1.3,0.5,0.2,0.7,1.3,5.3,0.445,0.479,0.304,0.743,0.52,0.475,F-G
Chris Wilcox,30,61,13.6,1.8,2.5,1.8,2.5,0.0,0.0,0.6,1.0,0.9,2.0,3.0,0.4,0.5,0.5,0.6,2.0,4.2,0.719,0.724,0.0,0.672,0.725,0.719,F
