Rk,Player,WS,ORtg,DRtg,VORP,PER,TRB%,USG%,TOV%,AST%,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
1,Trae Young,32.6,115,117,15.2,22.3,5.9,32.7,15.9,44.1,2018-19,2022-23,20-24,349,349,2,33.8,8.1,18.6,5.6,11.4,2.5,7.2,6.7,7.6,0.7,3.0,3.7,9.3,1.0,0.1,4.1,1.7,25.5,.438,.491,.353,.875,.581,.506,G,ATL,youngtr01
2,James Worthy,81.2,112,108,29.2,17.7,8.9,22.9,11.3,14.0,1982-83,1993-94,21-32,926,717,7,32.4,7.4,14.3,7.3,13.7,0.1,0.5,2.6,3.4,1.7,3.4,5.1,3.0,1.1,0.7,2.0,2.1,17.6,.521,.532,.241,.769,.559,.525,F,LAL,worthja01
3,Metta World Peace,61.1,102,103,25.4,14.8,8.1,21.3,12.2,14.5,1999-00,2016-17,20-37,991,840,1,31.7,4.7,11.4,3.5,7.9,1.2,3.4,2.6,3.6,1.2,3.3,4.5,2.7,1.7,0.5,1.8,2.6,13.2,.414,.447,.339,.715,.508,.465,F,CHIHOUINDLALNYKSAC,artesro01
4,Brian Winters,38.6,105,105,7.8,15.2,4.5,23.0,13.5,19.3,1974-75,1982-83,22-30,650,25,2,30.7,6.9,14.5,6.7,14.1,0.2,0.5,2.2,2.6,0.7,1.9,2.6,4.1,1.2,0.3,1.6,2.8,16.2,.475,.479,.363,.842,.516,.481,G-F,LALMIL,wintebr01
5,Zion Williamson,14.2,121,114,6.6,26.0,11.9,30.1,12.4,19.7,2019-20,2022-23,19-22,114,114,2,32.0,9.9,16.4,9.7,15.8,0.2,0.6,5.8,8.4,2.5,4.4,7.0,3.6,0.9,0.6,2.9,2.1,25.8,.605,.615,.343,.691,.643,.611,F-C,NOP,willizi01
6,Mo Williams,40.0,106,110,10.0,15.0,5.5,22.8,15.5,28.1,2003-04,2015-16,21-33,818,525,1,29.2,5.0,11.4,3.6,7.9,1.3,3.5,1.9,2.2,0.5,2.3,2.8,4.9,0.9,0.1,2.3,2.5,13.2,.434,.460,.378,.871,.532,.493,G,CHOCLELACMILMINPORUTA,willima01
7,Gus Williams,67.9,106,102,31.8,18.5,4.6,25.5,11.9,27.1,1975-76,1986-87,22-33,825,385,2,31.1,7.0,15.2,6.9,14.7,0.1,0.6,2.9,3.8,1.0,1.7,2.7,5.6,2.0,0.4,2.0,2.0,17.1,.461,.469,.238,.756,.505,.465,G,ATLGSWSEAWSB,willigu01
8,Deron Williams,77.3,112,110,28.3,18.2,5.4,23.5,16.1,39.5,2005-06,2016-17,21-32,845,771,3,34.2,5.8,13.0,4.4,9.1,1.4,3.9,3.4,4.1,0.4,2.7,3.1,8.1,1.0,0.2,2.8,2.5,16.3,.445,.482,.357,.822,.552,.498,G,BRKCLEDALNJNUTA,willide01
9,Buck Williams,120.1,112,104,21.7,15.3,17.2,16.4,16.3,5.5,1981-82,1997-98,21-37,1307,1140,3,32.5,4.9,8.9,4.9,8.9,0.0,0.0,3.0,4.6,3.5,6.5,10.0,1.3,0.8,0.8,2.1,3.3,12.8,.549,.550,.167,.664,.587,.549,F-C,NJNNYKPOR,willibu01
10,Dominique Wilkins,117.5,112,108,50.6,21.6,10.4,30.3,9.7,12.1,1982-83,1998-99,23-39,1074,995,9,35.5,9.3,20.1,8.6,18.0,0.7,2.1,5.6,6.9,2.7,3.9,6.7,2.5,1.3,0.6,2.5,1.9,24.8,.461,.478,.319,.811,.536,.478,F-G,ATLBOSLACORLSAS,wilkido01
11,Jamaal Wilkes,71.3,110,103,14.1,16.5,9.8,22.5,11.0,10.2,1974-75,1985-86,21-32,828,245,3,32.9,7.5,15.1,7.5,15.0,0.0,0.1,2.6,3.5,2.0,4.2,6.2,2.5,1.3,0.3,1.5,2.8,17.7,.499,.501,.135,.759,.533,.500,F-G,GSWLACLAL,wilkeja01
12,Andrew Wiggins,26.2,105,113,3.0,14.8,7.1,24.9,9.8,10.8,2014-15,2022-23,19-27,635,635,1,34.8,7.1,15.9,5.7,11.8,1.5,4.1,3.4,4.7,1.3,3.2,4.5,2.3,1.0,0.7,2.0,2.2,19.1,.449,.483,.354,.720,.532,.495,F-G,GSWMIN,wiggian01
13,Sidney Wicks,42.4,95,101,8.2,16.2,13.0,17.5,19.5,13.9,1971-72,1980-81,22-31,760,,4,33.9,6.6,14.5,6.6,14.5,0.0,0.0,3.6,5.2,2.0,4.3,8.7,3.2,0.8,0.6,0.9,3.3,16.8,.459,.459,.000,.685,.502,.459,F-C,BOSPORSDC,wickssi01
