Rk,Player,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
1,Max Zaslofsky,1946-47,1955-56,21-30,540,,1,12.5,5.3,15.4,5.3,15.4,,,4.2,5.5,,,1.6,2.0,,,,2.4,14.8,.343,.343,,.769,.415,.343,G-F,BLBCHSFTWMLHNYK,zasloma01
2,Trae Young,2018-19,2022-23,20-24,349,349,2,33.8,8.1,18.6,5.6,11.4,2.5,7.2,6.7,7.6,0.7,3.0,3.7,9.3,1.0,0.1,4.1,1.7,25.5,.438,.491,.353,.875,.581,.506,G,ATL,youngtr01
3,George Yardley,1953-54,1959-60,25-31,472,,6,33.4,6.8,16.0,6.8,16.0,,,5.7,7.3,,,8.9,1.7,,,,3.0,19.2,.422,.422,,.780,.499,.422,F-G,DETFTWSYR,yardlge01
4,James Worthy,1982-83,1993-94,21-32,926,717,7,32.4,7.4,14.3,7.3,13.7,0.1,0.5,2.6,3.4,1.7,3.4,5.1,3.0,1.1,0.7,2.0,2.1,17.6,.521,.532,.241,.769,.559,.525,F,LAL,worthja01
5,Metta World Peace,1999-00,2016-17,20-37,991,840,1,31.7,4.7,11.4,3.5,7.9,1.2,3.4,2.6,3.6,1.2,3.3,4.5,2.7,1.7,0.5,1.8,2.6,13.2,.414,.447,.339,.715,.508,.465,F,CHIHOUINDLALNYKSAC,artesro01
6,Brian Winters,1974-75,1982-83,22-30,650,25,2,30.7,6.9,14.5,6.7,14.1,0.2,0.5,2.2,2.6,0.7,1.9,2.6,4.1,1.2,0.3,1.6,2.8,16.2,.475,.479,.363,.842,.516,.481,G-F,LALMIL,wintebr01
7,Kevin Willis,1984-85,2006-07,22-44,1424,891,1,26.9,5.0,10.2,5.0,10.1,0.0,0.1,2.1,3.0,2.9,5.5,8.4,0.9,0.7,0.5,1.8,2.9,12.1,.487,.491,.211,.713,.525,.488,F-C,ATLDALDENGSWHOUMIASASTOR,willike02
8,Zion Williamson,2019-20,2022-23,19-22,114,114,2,32.0,9.9,16.4,9.7,15.8,0.2,0.6,5.8,8.4,2.5,4.4,7.0,3.6,0.9,0.6,2.9,2.1,25.8,.605,.615,.343,.691,.643,.611,F-C,NOP,willizi01
9,Mo Williams,2003-04,2015-16,21-33,818,525,1,29.2,5.0,11.4,3.6,7.9,1.3,3.5,1.9,2.2,0.5,2.3,2.8,4.9,0.9,0.1,2.3,2.5,13.2,.434,.460,.378,.871,.532,.493,G,CHOCLELACMILMINPORUTA,willima01
10,Jayson Williams,1990-91,1998-99,22-30,475,158,1,20.6,2.9,6.5,2.9,6.5,0.0,0.1,1.6,2.6,3.3,4.2,7.5,0.6,0.4,0.6,1.1,2.7,7.3,.440,.442,.125,.606,.477,.440,F-C,NJNPHI,willija01
11,Gus Williams,1975-76,1986-87,22-33,825,385,2,31.1,7.0,15.2,6.9,14.7,0.1,0.6,2.9,3.8,1.0,1.7,2.7,5.6,2.0,0.4,2.0,2.0,17.1,.461,.469,.238,.756,.505,.465,G,ATLGSWSEAWSB,willigu01
12,Deron Williams,2005-06,2016-17,21-32,845,771,3,34.2,5.8,13.0,4.4,9.1,1.4,3.9,3.4,4.1,0.4,2.7,3.1,8.1,1.0,0.2,2.8,2.5,16.3,.445,.482,.357,.822,.552,.498,G,BRKCLEDALNJNUTA,willide01
13,Buck Williams,1981-82,1997-98,21-37,1307,1140,3,32.5,4.9,8.9,4.9,8.9,0.0,0.0,3.0,4.6,3.5,6.5,10.0,1.3,0.8,0.8,2.1,3.3,12.8,.549,.550,.167,.664,.587,.549,F-C,NJNNYKPOR,willibu01
14,Dominique Wilkins,1982-83,1998-99,23-39,1074,995,9,35.5,9.3,20.1,8.6,18.0,0.7,2.1,5.6,6.9,2.7,3.9,6.7,2.5,1.3,0.6,2.5,1.9,24.8,.461,.478,.319,.811,.536,.478,F-G,ATLBOSLACORLSAS,wilkido01
15,Jamaal Wilkes,1974-75,1985-86,21-32,828,245,3,32.9,7.5,15.1,7.5,15.0,0.0,0.1,2.6,3.5,2.0,4.2,6.2,2.5,1.3,0.3,1.5,2.8,17.7,.499,.501,.135,.759,.533,.500,F-G,GSWLACLAL,wilkeja01
16,Lenny Wilkens,1960-61,1974-75,23-37,1077,,9,35.3,5.7,13.3,5.7,13.3,,,5.0,6.5,0.1,0.3,4.7,6.7,0.2,0.0,,3.1,16.5,.432,.432,,.774,.511,.432,G,CLEPORSEASTL,wilkele01
17,Andrew Wiggins,2014-15,2022-23,19-27,635,635,1,34.8,7.1,15.9,5.7,11.8,1.5,4.1,3.4,4.7,1.3,3.2,4.5,2.3,1.0,0.7,2.0,2.2,19.1,.449,.483,.354,.720,.532,.495,F-G,GSWMIN,wiggian01
18,Sidney Wicks,1971-72,1980-81,22-31,760,,4,33.9,6.6,14.5,6.6,14.5,0.0,0.0,3.6,5.2,2.0,4.3,8.7,3.2,0.8,0.6,0.9,3.3,16.8,.459,.459,.000,.685,.502,.459,F-C,BOSPORSDC,wickssi01
19,Jo Jo White,1969-70,1980-81,23-34,837,,7,35.8,7.4,16.6,7.4,16.6,0.0,0.0,2.5,3.0,0.6,1.8,4.0,4.9,0.8,0.1,0.6,2.5,17.2,.444,.444,.167,.834,.481,.444,G,BOSGSWKCK,whitejo01
20,Paul Westphal,1972-73,1983-84,22-33,823,73,5,25.5,6.2,12.3,6.1,12.0,0.1,0.2,3.2,3.8,0.5,1.4,1.9,4.4,1.2,0.3,1.4,2.1,15.6,.504,.508,.275,.820,.558,.506,G,BOSNYKPHOSEA,westppa01
21,Russell Westbrook,2008-09,2022-23,20-34,1089,1023,9,34.3,8.0,18.3,6.9,14.6,1.1,3.7,5.2,6.7,1.6,5.7,7.3,8.4,1.6,0.3,4.1,2.6,22.4,.438,.471,.305,.778,.526,.468,G,HOULACLALOKCWAS,westbru01
22,Jerry West,1960-61,1973-74,22-35,932,,14,39.2,9.7,20.4,9.7,20.4,,,7.7,9.4,0.0,0.1,5.8,6.7,0.1,0.0,,2.6,27.0,.474,.474,,.814,.550,.474,G,LAL,westje01
23,David West,2003-04,2017-18,23-37,1034,742,2,28.2,5.5,11.1,5.5,10.9,0.1,0.2,2.5,3.0,1.7,4.6,6.4,2.2,0.7,0.8,1.6,2.3,13.6,.495,.499,.265,.817,.544,.498,F-C,GSWINDNOHNOKSAS,westda01
24,Scott Wedman,1974-75,1986-87,22-34,906,105,2,28.6,5.7,11.8,5.6,11.5,0.1,0.3,1.7,2.1,1.7,3.1,4.8,2.0,0.9,0.3,1.0,2.8,13.2,.481,.485,.335,.794,.515,.485,F-G,BOSCLEKCKKCO,wedmasc01
25,Chris Webber,1993-94,2007-08,20-34,831,827,5,37.1,8.7,18.1,8.3,17.0,0.3,1.1,3.0,4.7,2.7,7.0,9.8,4.2,1.4,1.4,2.8,3.2,20.7,.479,.490,.299,.649,.513,.487,F-C,DETGSWPHISACWASWSB,webbech01
26,Kermit Washington,1973-74,1987-88,22-36,507,5,1,25.3,3.5,6.7,3.5,6.7,0.0,0.0,2.2,3.3,3.0,5.3,8.3,1.4,0.8,1.1,1.2,3.2,9.2,.526,.526,.000,.656,.565,.526,F-C,BOSGSWLALPORSDC,washike01
27,Bobby Wanzer,1948-49,1956-57,27-35,568,,5,21.4,4.0,10.2,4.0,10.2,,,4.2,5.2,,,3.5,3.2,,,,2.2,12.2,.393,.393,,.802,.489,.393,G,ROC,wanzebo01
