,Player,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,WS,ORtg,DRtg,VORP,PER,TRB%,AST%,TOV%,USG%,HOF,MVP
1,Trae Young,2,33.8,8.1,18.6,5.6,11.4,2.5,7.2,6.7,7.6,0.7,3.0,3.7,9.3,1.0,0.1,4.1,1.7,25.5,0.438,0.491,0.353,0.875,0.581,0.506,G,32.6,115.0,117.0,15.2,22.3,5.9,44.1,15.9,32.7,0,0
3,James Worthy,7,32.4,7.4,14.3,7.3,13.7,0.1,0.5,2.6,3.4,1.7,3.4,5.1,3.0,1.1,0.7,2.0,2.1,17.6,0.521,0.532,0.241,0.769,0.559,0.525,F,81.2,112.0,108.0,29.2,17.7,8.9,14.0,11.3,22.9,1,0
4,Metta World Peace,1,31.7,4.7,11.4,3.5,7.9,1.2,3.4,2.6,3.6,1.2,3.3,4.5,2.7,1.7,0.5,1.8,2.6,13.2,0.414,0.447,0.339,0.715,0.508,0.465,F,61.1,102.0,103.0,25.4,14.8,8.1,14.5,12.2,21.3,0,0
5,Brian Winters,2,30.7,6.9,14.5,6.7,14.1,0.2,0.5,2.2,2.6,0.7,1.9,2.6,4.1,1.2,0.3,1.6,2.8,16.2,0.475,0.479,0.363,0.842,0.516,0.481,G-F,38.6,105.0,105.0,7.8,15.2,4.5,19.3,13.5,23.0,0,0
7,Zion Williamson,2,32.0,9.9,16.4,9.7,15.8,0.2,0.6,5.8,8.4,2.5,4.4,7.0,3.6,0.9,0.6,2.9,2.1,25.8,0.605,0.615,0.343,0.691,0.643,0.611,F-C,14.2,121.0,114.0,6.6,26.0,11.9,19.7,12.4,30.1,0,0
8,Mo Williams,1,29.2,5.0,11.4,3.6,7.9,1.3,3.5,1.9,2.2,0.5,2.3,2.8,4.9,0.9,0.1,2.3,2.5,13.2,0.434,0.46,0.378,0.871,0.532,0.493,G,40.0,106.0,110.0,10.0,15.0,5.5,28.1,15.5,22.8,0,0
10,Gus Williams,2,31.1,7.0,15.2,6.9,14.7,0.1,0.6,2.9,3.8,1.0,1.7,2.7,5.6,2.0,0.4,2.0,2.0,17.1,0.461,0.469,0.238,0.756,0.505,0.465,G,67.9,106.0,102.0,31.8,18.5,4.6,27.1,11.9,25.5,0,0
11,Deron Williams,3,34.2,5.8,13.0,4.4,9.1,1.4,3.9,3.4,4.1,0.4,2.7,3.1,8.1,1.0,0.2,2.8,2.5,16.3,0.445,0.482,0.357,0.822,0.552,0.498,G,77.3,112.0,110.0,28.3,18.2,5.4,39.5,16.1,23.5,0,0
12,Buck Williams,3,32.5,4.9,8.9,4.9,8.9,0.0,0.0,3.0,4.6,3.5,6.5,10.0,1.3,0.8,0.8,2.1,3.3,12.8,0.549,0.55,0.167,0.664,0.587,0.549,F-C,120.1,112.0,104.0,21.7,15.3,17.2,5.5,16.3,16.4,0,0
13,Dominique Wilkins,9,35.5,9.3,20.1,8.6,18.0,0.7,2.1,5.6,6.9,2.7,3.9,6.7,2.5,1.3,0.6,2.5,1.9,24.8,0.461,0.478,0.319,0.811,0.536,0.478,F-G,117.5,112.0,108.0,50.6,21.6,10.4,12.1,9.7,30.3,1,0
14,Jamaal Wilkes,3,32.9,7.5,15.1,7.5,15.0,0.0,0.1,2.6,3.5,2.0,4.2,6.2,2.5,1.3,0.3,1.5,2.8,17.7,0.499,0.501,0.135,0.759,0.533,0.5,F-G,71.3,110.0,103.0,14.1,16.5,9.8,10.2,11.0,22.5,1,0
16,Andrew Wiggins,1,34.8,7.1,15.9,5.7,11.8,1.5,4.1,3.4,4.7,1.3,3.2,4.5,2.3,1.0,0.7,2.0,2.2,19.1,0.449,0.483,0.354,0.72,0.532,0.495,F-G,26.2,105.0,113.0,3.0,14.8,7.1,10.8,9.8,24.9,0,0
17,Sidney Wicks,4,33.9,6.6,14.5,6.6,14.5,0.0,0.0,3.6,5.2,2.0,4.3,8.7,3.2,0.8,0.6,0.9,3.3,16.8,0.459,0.459,0.0,0.685,0.502,0.459,F-C,42.4,95.0,101.0,8.2,16.2,13.0,13.9,19.5,17.5,0,0
18,Jo Jo White,7,35.8,7.4,16.6,7.4,16.6,0.0,0.0,2.5,3.0,0.6,1.8,4.0,4.9,0.8,0.1,0.6,2.5,17.2,0.444,0.444,0.167,0.834,0.481,0.444,G,54.0,95.0,101.0,6.9,14.2,5.4,19.2,16.4,19.5,1,0
19,Paul Westphal,5,25.5,6.2,12.3,6.1,12.0,0.1,0.2,3.2,3.8,0.5,1.4,1.9,4.4,1.2,0.3,1.4,2.1,15.6,0.504,0.508,0.275,0.82,0.558,0.506,G,67.7,109.0,101.0,24.8,19.4,4.0,26.2,13.9,26.0,1,0
20,Russell Westbrook,9,34.3,8.0,18.3,6.9,14.6,1.1,3.7,5.2,6.7,1.6,5.7,7.3,8.4,1.6,0.3,4.1,2.6,22.4,0.438,0.471,0.305,0.778,0.526,0.468,G,108.0,108.0,106.0,56.7,22.2,11.6,41.7,16.1,31.9,0,1
22,David West,2,28.2,5.5,11.1,5.5,10.9,0.1,0.2,2.5,3.0,1.7,4.6,6.4,2.2,0.7,0.8,1.6,2.3,13.6,0.495,0.499,0.265,0.817,0.544,0.498,F-C,85.9,109.0,104.0,27.6,18.6,13.1,13.6,11.4,23.1,0,0
23,Scott Wedman,2,28.6,5.7,11.8,5.6,11.5,0.1,0.3,1.7,2.1,1.7,3.1,4.8,2.0,0.9,0.3,1.0,2.8,13.2,0.481,0.485,0.335,0.794,0.515,0.485,F-G,53.7,107.0,104.0,10.5,14.2,9.0,9.9,9.8,20.5,0,0
