Rk,Player,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
1,George Yardley,1953-54,1959-60,25-31,472,,6,33.4,6.8,16.0,6.8,16.0,,,5.7,7.3,,,8.9,1.7,,,,3.0,19.2,.422,.422,,.780,.499,.422,F-G,DETFTWSYR,yardlge01
2,James Worthy,1982-83,1993-94,21-32,926,717,7,32.4,7.4,14.3,7.3,13.7,0.1,0.5,2.6,3.4,1.7,3.4,5.1,3.0,1.1,0.7,2.0,2.1,17.6,.521,.532,.241,.769,.559,.525,F,LAL,worthja01
3,Dominique Wilkins,1982-83,1998-99,23-39,1074,995,9,35.5,9.3,20.1,8.6,18.0,0.7,2.1,5.6,6.9,2.7,3.9,6.7,2.5,1.3,0.6,2.5,1.9,24.8,.461,.478,.319,.811,.536,.478,F-G,ATLBOSLACORLSAS,wilkido01
4,Jamaal Wilkes,1974-75,1985-86,21-32,828,245,3,32.9,7.5,15.1,7.5,15.0,0.0,0.1,2.6,3.5,2.0,4.2,6.2,2.5,1.3,0.3,1.5,2.8,17.7,.499,.501,.135,.759,.533,.500,F-G,GSWLACLAL,wilkeja01
5,Lenny Wilkens,1960-61,1974-75,23-37,1077,,9,35.3,5.7,13.3,5.7,13.3,,,5.0,6.5,0.1,0.3,4.7,6.7,0.2,0.0,,3.1,16.5,.432,.432,,.774,.511,.432,G,CLEPORSEASTL,wilkele01
6,Jo Jo White,1969-70,1980-81,23-34,837,,7,35.8,7.4,16.6,7.4,16.6,0.0,0.0,2.5,3.0,0.6,1.8,4.0,4.9,0.8,0.1,0.6,2.5,17.2,.444,.444,.167,.834,.481,.444,G,BOSGSWKCK,whitejo01
7,Paul Westphal,1972-73,1983-84,22-33,823,73,5,25.5,6.2,12.3,6.1,12.0,0.1,0.2,3.2,3.8,0.5,1.4,1.9,4.4,1.2,0.3,1.4,2.1,15.6,.504,.508,.275,.820,.558,.506,G,BOSNYKPHOSEA,westppa01
8,Jerry West,1960-61,1973-74,22-35,932,,14,39.2,9.7,20.4,9.7,20.4,,,7.7,9.4,0.0,0.1,5.8,6.7,0.1,0.0,,2.6,27.0,.474,.474,,.814,.550,.474,G,LAL,westje01
9,Chris Webber,1993-94,2007-08,20-34,831,827,5,37.1,8.7,18.1,8.3,17.0,0.3,1.1,3.0,4.7,2.7,7.0,9.8,4.2,1.4,1.4,2.8,3.2,20.7,.479,.490,.299,.649,.513,.487,F-C,DETGSWPHISACWASWSB,webbech01
10,Bobby Wanzer,1948-49,1956-57,27-35,568,,5,21.4,4.0,10.2,4.0,10.2,,,4.2,5.2,,,3.5,3.2,,,,2.2,12.2,.393,.393,,.802,.489,.393,G,ROC,wanzebo01
11,Bill Walton,1974-75,1986-87,22-34,468,117,2,28.3,5.5,10.5,5.5,10.5,0.0,0.0,2.4,3.6,2.4,8.2,10.5,3.4,0.8,2.2,1.8,2.8,13.3,.521,.521,.000,.660,.551,.521,C-F,BOSLACPORSDC,waltobi01
