Rk,Player,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
1,Russell Westbrook,2016-17,2016-17,28-28,81,81,1,34.6,10.2,24.0,7.7,16.8,2.5,7.2,8.8,10.4,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,.425,.459,.343,.845,.554,.476,G,OKC,westbru01
2,Bill Walton,1977-78,1977-78,25-25,58,,1,33.3,7.9,15.2,7.9,15.2,,,3.1,4.2,2.0,11.2,13.2,5.0,1.0,2.5,3.6,2.5,18.9,.522,.522,,.720,.554,.522,C-F,POR,waltobi01
3,Wes Unseld,1968-69,1968-69,22-22,82,,1,36.2,5.2,10.9,5.2,10.9,,,3.4,5.6,,,18.2,2.6,,,,3.4,13.8,.476,.476,,.605,.515,.476,C-F,BAL,unselwe01
4,Bill Russell,1957-58,1964-65,23-30,379,,5,43.5,6.6,15.0,6.6,15.0,,,3.4,6.2,,,23.6,4.1,,,,2.5,16.7,.439,.439,,.559,.469,.439,C,BOS,russebi01
5,Derrick Rose,2010-11,2010-11,22-22,81,81,1,37.4,8.8,19.7,7.2,15.0,1.6,4.8,5.9,6.9,1.0,3.1,4.1,7.7,1.0,0.6,3.4,1.7,25.0,.445,.481,.332,.858,.550,.485,G,CHI,rosede01
6,David Robinson,1994-95,1994-95,29-29,81,81,1,38.0,9.7,18.4,9.7,18.1,0.1,0.2,8.1,10.5,2.9,7.9,10.8,2.9,1.7,3.2,2.9,2.8,27.6,.530,.533,.300,.774,.602,.532,C,SAS,robinda01
7,Oscar Robertson,1963-64,1963-64,25-25,79,,1,45.1,10.6,22.0,10.6,22.0,,,10.1,11.9,,,9.9,11.0,,,,3.5,31.4,.483,.483,,.853,.576,.483,G-F,CIN,roberos01
8,Willis Reed,1969-70,1969-70,27-27,81,,1,38.1,8.7,17.1,8.7,17.1,,,4.3,5.7,,,13.9,2.0,,,,3.5,21.7,.507,.507,,.756,.552,.507,C-F,NYK,reedwi01
9,Bob Pettit,1955-56,1958-59,23-26,144,,2,39.4,9.5,21.9,9.5,21.9,,,8.5,11.4,,,16.3,2.8,,,,2.8,27.5,.434,.434,,.748,.511,.434,F-C,STL,pettibo01
10,Hakeem Olajuwon,1993-94,1993-94,31-31,80,80,1,41.0,11.2,21.2,11.1,20.9,0.1,0.2,4.9,6.8,2.9,9.1,11.9,3.6,1.6,3.7,3.4,3.6,27.3,.528,.529,.421,.716,.565,.530,C,HOU,olajuha01
11,Shaquille O'Neal,1999-00,1999-00,27-27,79,79,1,40.0,12.1,21.1,12.1,21.1,0.0,0.0,5.5,10.4,4.3,9.4,13.6,3.8,0.5,3.0,2.8,3.2,29.7,.574,.575,.000,.524,.578,.574,C,LAL,onealsh01
12,Dirk Nowitzki,2006-07,2006-07,28-28,78,78,1,36.2,8.6,17.2,7.7,15.0,0.9,2.2,6.4,7.1,1.6,7.3,8.9,3.4,0.7,0.8,2.1,2.2,24.6,.502,.515,.416,.904,.605,.529,F,DAL,nowitdi01
13,Steve Nash,2004-05,2005-06,30-31,154,154,2,34.9,6.3,12.4,4.7,8.8,1.6,3.6,3.0,3.4,0.7,3.1,3.8,11.0,0.9,0.1,3.4,1.7,17.2,.508,.537,.436,.905,.620,.571,G,PHO,nashst01
14,Bob McAdoo,1974-75,1974-75,23-23,82,,1,43.2,13.4,26.1,13.4,26.1,,,7.8,9.7,3.7,10.3,14.1,2.2,1.1,2.1,,3.4,34.5,.512,.512,,.805,.569,.512,C-F,BUF,mcadobo01
15,Moses Malone,1978-79,1982-83,23-27,241,159,3,40.3,9.6,18.5,9.6,18.4,0.0,0.0,7.6,10.1,6.6,9.3,15.9,1.6,1.0,1.7,3.7,2.6,26.8,.520,.521,.000,.754,.585,.520,C-F,HOUPHI,malonmo01
16,Karl Malone,1996-97,1998-99,33-35,131,131,1,36.9,9.6,18.1,9.6,18.0,0.0,0.1,6.9,8.9,2.3,7.4,9.7,4.3,1.3,0.6,3.0,2.7,26.1,.531,.534,.000,.768,.592,.531,F,UTA,malonka01
17,Michael Jordan,1987-88,1997-98,24-34,408,408,5,38.5,11.8,23.0,11.3,21.5,0.5,1.5,7.1,8.6,1.5,4.5,6.1,5.1,2.4,0.9,2.5,2.6,31.1,.511,.524,.323,.828,.581,.522,G-F,CHI,jordami01
18,Nikola Jokić,2020-21,2021-22,25-26,146,146,2,34.0,10.2,17.8,9.0,14.2,1.3,3.6,4.9,5.9,2.8,9.5,12.3,8.1,1.4,0.8,3.4,2.6,26.7,.575,.629,.360,.836,.654,.611,C-F,DEN,jokicni01
19,Magic Johnson,1986-87,1989-90,27-30,236,236,3,37.0,7.7,15.2,6.9,13.1,0.7,2.1,6.8,7.8,1.5,5.4,6.9,12.2,1.7,0.4,3.8,2.1,22.9,.505,.531,.344,.882,.616,.529,G-F,LAL,johnsma02
20,LeBron James,2008-09,2012-13,24-28,295,295,4,38.0,10.0,19.2,8.6,15.2,1.4,4.0,6.7,8.7,1.2,6.4,7.7,7.4,1.7,1.0,3.2,1.6,28.1,.520,.562,.356,.769,.609,.556,F-G,CLEMIA,jamesle01
21,Allen Iverson,2000-01,2000-01,25-25,71,71,1,42.0,10.7,25.5,9.4,21.2,1.4,4.3,8.2,10.1,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,.420,.441,.320,.814,.518,.447,G,PHI,iversal01
22,James Harden,2017-18,2017-18,28-28,72,72,1,35.4,9.0,20.1,5.4,10.1,3.7,10.0,8.7,10.1,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,30.4,.449,.531,.367,.858,.619,.541,G,HOU,hardeja01
23,Kevin Garnett,2003-04,2003-04,27-27,82,82,1,39.4,9.8,19.6,9.7,19.1,0.1,0.5,4.5,5.7,3.0,10.9,13.9,5.0,1.5,2.2,2.6,2.5,24.2,.499,.506,.256,.791,.547,.502,F-C,MIN,garneke01
24,Julius Erving,1980-81,1980-81,30-30,82,82,1,35.0,9.7,18.6,9.6,18.4,0.0,0.2,5.1,6.5,3.0,5.0,8.0,4.4,2.1,1.8,3.2,2.8,24.6,.521,.525,.222,.787,.572,.522,F-G,PHI,ervinju01
25,Kevin Durant,2013-14,2013-14,25-25,81,81,1,38.5,10.5,20.8,8.1,14.8,2.4,6.1,8.7,9.9,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0,.503,.549,.391,.873,.635,.560,F-G,OKC,duranke01
26,Tim Duncan,2001-02,2002-03,25-26,163,163,2,39.9,9.1,17.8,9.0,17.6,0.0,0.2,6.2,8.2,3.2,9.6,12.8,3.8,0.7,2.7,3.1,2.7,24.4,.510,.514,.219,.757,.570,.512,F-C,SAS,duncati01
27,Stephen Curry,2014-15,2015-16,26-27,159,159,2,33.4,9.2,18.5,4.8,8.8,4.3,9.6,4.2,4.6,0.8,4.1,4.8,7.2,2.1,0.2,3.2,2.0,26.9,.496,.547,.449,.910,.655,.613,G,GSW,curryst01
28,Dave Cowens,1972-73,1972-73,24-24,82,,1,41.8,9.0,20.0,9.0,20.0,,,2.5,3.2,,,16.2,4.1,,,,3.8,20.5,.452,.452,,.779,.481,.452,C-F,BOS,cowenda01
29,Bob Cousy,1956-57,1956-57,28-28,64,,1,36.9,7.5,19.8,7.5,19.8,,,5.7,6.9,,,4.8,7.5,,,,2.1,20.6,.378,.378,,.821,.452,.378,G,BOS,cousybo01
30,Wilt Chamberlain,1959-60,1967-68,23-31,314,,4,46.5,11.9,21.7,11.9,21.7,,,5.8,12.0,,,24.8,6.1,,,,2.0,29.6,.548,.548,,.482,.548,.548,C,PHIPHW,chambwi01
31,Kobe Bryant,2007-08,2007-08,29-29,82,82,1,38.9,9.5,20.6,7.6,15.5,1.8,5.1,7.6,9.0,1.1,5.2,6.3,5.4,1.8,0.5,3.1,2.8,28.3,.459,.490,.361,.840,.576,.503,G-F,LAL,bryanko01
32,Larry Bird,1983-84,1985-86,27-29,241,235,3,38.6,10.3,20.4,9.6,18.7,0.6,1.7,5.1,5.7,2.2,7.9,10.1,6.7,1.8,0.9,3.1,2.4,26.2,.504,.514,.392,.889,.573,.520,F,BOS,birdla01
33,Charles Barkley,1992-93,1992-93,29-29,76,76,1,37.6,9.4,18.1,8.5,15.2,0.9,2.9,5.9,7.7,3.1,9.1,12.2,5.1,1.6,1.0,3.1,2.6,25.6,.520,.561,.305,.765,.596,.545,F,PHO,barklch01
